filename,url,bytes,sha256
UID_0003093_RVC_011.tbl,http://exoplanetarchive.ipac.caltech.edu:80/data/ExoData/0003/0003093/data/UID_0003093_RVC_011.tbl,1850,3222f0e005d5cc6706de46bbe8c9a006b3185237a23346026e5af31656fbe847
UID_0003479_RVC_001.tbl,http://exoplanetarchive.ipac.caltech.edu:80/data/ExoData/0003/0003479/data/UID_0003479_RVC_001.tbl,4027,54f6e1fa5a9239663637a8c036b5d54965a560c3eedc942584899a6884c53193
UID_0003479_RVC_002.tbl,http://exoplanetarchive.ipac.caltech.edu:80/data/ExoData/0003/0003479/data/UID_0003479_RVC_002.tbl,3555,7a01c1e61bbc2fbd6271ee1cc261cc29164b19952ececf602b93fb3fcf0aa49e
UID_0003497_RVC_001.tbl,http://exoplanetarchive.ipac.caltech.edu:80/data/ExoData/0003/0003497/data/UID_0003497_RVC_001.tbl,6088,639dae0c4b934bac7364fa4778d8d008b9a688a4e3e0c50e0558ac4905514539
UID_0003497_RVC_002.tbl,http://exoplanetarchive.ipac.caltech.edu:80/data/ExoData/0003/0003497/data/UID_0003497_RVC_002.tbl,3989,f3f12c9265a561151599a1caa5d7b4b7c1ccb111daf818fcda5ce4f5f8641ce3
UID_0003502_RVC_001.tbl,http://exoplanetarchive.ipac.caltech.edu:80/data/ExoData/0003/0003502/data/UID_0003502_RVC_001.tbl,2857,48e76d7489f70150f007a7830e4b2d122b96a7b3c8546d111bb8fb16b549b5f2
UID_0003502_RVC_002.tbl,http://exoplanetarchive.ipac.caltech.edu:80/data/ExoData/0003/0003502/data/UID_0003502_RVC_002.tbl,2232,e021d73aa42b1d447c78eba67aa4f808df920a4ddddfab197759f6a9b35124fa
UID_0003574_RVC_001.tbl,http://exoplanetarchive.ipac.caltech.edu:80/data/ExoData/0003/0003574/data/UID_0003574_RVC_001.tbl,3087,ff4702d4533facb3cee4f74a1f1120cc837bb0563ff200c053488c892cd2ab5a
UID_0003765_RVC_001.tbl,http://exoplanetarchive.ipac.caltech.edu:80/data/ExoData/0003/0003765/data/UID_0003765_RVC_001.tbl,6212,cfe73519b143dfda2ddf9d91b98f9fd4112c4db980c642068731fd9c8590477a
UID_0003765_RVC_002.tbl,http://exoplanetarchive.ipac.caltech.edu:80/data/ExoData/0003/0003765/data/UID_0003765_RVC_002.tbl,3153,072a67d7412ccec0a474e109b8ae12621ae9a383e3c689d0061a38c7e0be4163
UID_0003765_RVC_003.tbl,http://exoplanetarchive.ipac.caltech.edu:80/data/ExoData/0003/0003765/data/UID_0003765_RVC_003.tbl,1790,6a8f5dbcc3886933a1edb89b5674b27a495a49d9beb04901477ae28e9fda229a
UID_0003821_RVC_001.tbl,http://exoplanetarchive.ipac.caltech.edu:80/data/ExoData/0003/0003821/data/UID_0003821_RVC_001.tbl,3803,046c2f266a7d083e2504285d9e4dcab28ecfa1752cf87d3b659cdc7b859794c4
UID_0003821_RVC_002.tbl,http://exoplanetarchive.ipac.caltech.edu:80/data/ExoData/0003/0003821/data/UID_0003821_RVC_002.tbl,2154,b29592768284ffad4aff59feb810085cb369315df4725dfdd8fdf4a1aae00db3
UID_0003834_RVC_001.tbl,http://exoplanetarchive.ipac.caltech.edu:80/data/ExoData/0003/0003834/data/UID_0003834_RVC_001.tbl,4418,8194323cad0cc8436fa23916b3a20527d0d421bcf10e05273328afce3a1c67b5
UID_0004297_RVC_001.tbl,http://exoplanetarchive.ipac.caltech.edu:80/data/ExoData/0004/0004297/data/UID_0004297_RVC_001.tbl,3282,b90d940e83df3e2f7ce15a4cbad526ace8ce5ab2405f9fce8345d28df6234cda
UID_0004552_RVC_001.tbl,http://exoplanetarchive.ipac.caltech.edu:80/data/ExoData/0004/0004552/data/UID_0004552_RVC_001.tbl,4095,7fd8a852081024fe118f127f0484055fbd4834bc4634651bcd38e1847f277eff
UID_0005054_RVC_001.tbl,http://exoplanetarchive.ipac.caltech.edu:80/data/ExoData/0005/0005054/data/UID_0005054_RVC_001.tbl,9504,c249e97db1902b263b0ed0ecfd8584e2f26e4e515ca3afd8dc6a0a3c70938bbc
UID_0006379_RVC_001.tbl,http://exoplanetarchive.ipac.caltech.edu:80/data/ExoData/0006/0006379/data/UID_0006379_RVC_001.tbl,7114,de66e5cd395def1d45363bdfdfc434417ba61ca101c867e55d7aff9e15b0193a
