id,T,dt,theta_0,eps,g,l,k,time_values,theta_values,theta_clean_values
0,10,0.5,0.6283185307179586,0.01,9.81,3.982802218501835,0.004949905957768471,"0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0","0.6779899460190819,0.4335211093034692,0.06477724795648457,-0.2950329343713113,-0.6533338045016646,-0.4709618790859576,0.15922292373693894,0.5260934254678078,0.5829715073363971,0.5020051454495336,-0.04735352634487178,-0.4957226185251358,-0.6057230909982022,-0.6392780341753923,-0.17176990003119053,0.3927205074435267,0.5286364716905899,0.4819186965130799,-0.09096576857226721,-0.5919504622072875,-0.48647294015088965","0.6283185307179586,0.4473475394205877,8.394146415319215e-06,-0.44733592001211386,-0.6283185310637327,-0.44735915934835524,-2.518253394845349e-05,0.4473243009918424,0.6283185321010514,0.44737077992650254,4.1971205590046745e-05,-0.44731268222867554,-0.6283185338299048,-0.4473824012861126,-5.8760350749281764e-05,0.4473010635915081,0.6283185362502766,0.44739402355826613,7.555015884072591e-05,-0.4472894449492248,-0.6283185393621435"
1,10,0.5,0.6283185307179586,0.01,9.81,4.363690639601221,0.007276312261534276,"0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0","0.654058523252428,0.37229560188508665,0.009027078291533305,-0.4492171088230561,-0.5358732958634009,-0.5616125629370672,-0.08971300141701377,0.5204338449291425,0.7281645164234793,0.5222078160636814,0.1942839106142285,-0.19028397275702139,-0.7361165121101989,-0.6859616386273528,-0.2637366255060735,0.13433643000530737,0.7178856516803583,0.5587436045265619,0.28529511596530077,-0.14325580344941774,-0.46666346965561606","0.6283185307179586,0.46314374516315276,0.046877388897415634,-0.395725548945499,-0.6216806304705634,-0.5203115647055945,-0.13953185986574207,0.3194139201719439,0.6018783619717138,0.5661293017504447,0.22892769991309356,-0.23581593871274606,-0.5692502414088357,-0.5997530891263716,-0.31302771031844767,0.14676776961985596,0.5243720229403241,0.6205878700250007,0.3899790145868065,-0.05429404458339747,-0.4680675233753289"
2,10,0.5,0.6283185307179586,0.01,9.81,0.9237980654944229,0.009780601164730805,"0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0","0.5532570589923713,-0.0202721656656151,-0.40578433591368873,0.27362237161053227,0.1351847874173431,-0.7803911218536272,0.20453095068819405,0.605432016582309,-0.3222541515265465,-0.3475668253825468,0.4558911830503246,0.0968672099347728,-0.7451379495061653,0.24923438150137311,0.4110449620344639,-0.42740704077666986,-0.14023917448213857,0.6064639430299023,0.02662911460835099,-0.702610103368204,0.2321389262148984","0.6283185307179586,-0.15190789813679706,-0.5303983387780318,0.4341139457363917,0.2819991553153336,-0.6088840760562904,0.018652581536938606,0.5966732189557287,-0.3170219318840731,-0.40311398904801177,0.5522315524652809,0.11489935648279492,-0.6267970338952108,0.18868978943198655,0.5062100173766624,-0.46349264675454527,-0.2463002000922263,0.6181791608711669,-0.05593737044578029,-0.5816287481867815,0.35118928784517156"
3,10,0.5,0.6283185307179586,0.01,9.81,3.9251286589565884,0.008074578747492584,"0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0","0.6309560080029148,0.4707206269825315,-0.04723927195863077,-0.47574147059165817,-0.7553015912124671,-0.6934840844812533,0.0521374517024153,0.37832908690331496,0.6670050621364488,0.5161508677794823,-0.04016809470420705,-0.44976812523569,-0.7740286242402806,-0.3310339201571379,-0.12106931844327924,0.43600563349065696,0.5245768849946213,0.4020855016345178,-0.08152934511893575,-0.6496912945628301,-0.6845120933083116","0.6283185307179586,0.4446884568402664,-0.007724717806851467,-0.45531138008783195,-0.6281383257405269,-0.43379622145555186,0.023169360517360654,0.4656595512845377,0.6275977964803205,0.4226403133909913,-0.03859962394860833,-0.4757277218610231,-0.6266972001312564,-0.4112265797647633,0.0540059202238727,0.48551082663309564,0.6254369659269328,0.39956108304707755,-0.0693786596508044,-0.49500397637082866,-0.6238176959543472"
4,10,0.5,0.6283185307179586,0.01,9.81,1.0765113470399563,0.005053473441060104,"0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0","0.6868061147050104,0.08189414908934674,-0.5346865042167037,0.04546153508973638,0.6239487442607439,-0.2312403945504323,-0.5343250341276735,0.24885798673944493,0.44346225634262165,-0.31077013561697187,-0.45221082409459246,0.48147377604946356,0.430481415619736,-0.5951752134283024,-0.22231972588633675,0.6785375632895257,0.10399462133546607,-0.6334115947922219,0.14873776257538945,0.49354113022207846,-0.082501521340045","0.6283185307179586,-0.04122542495470993,-0.6168765306168225,0.12538437080938158,0.5827434212238372,-0.21362473312893648,-0.5270078371640385,0.30542462568267004,0.4528087806216221,-0.39650024391433075,-0.365988495473534,0.4798256660954041,0.2739703066870435,-0.5482632058574035,-0.1830896527432978,0.5968708633745399,0.0963570921152096,-0.6233371386697426,-0.013141220053333291,0.6269920649166141,-0.0695165797742151"
5,10,0.5,0.6283185307179586,0.01,9.81,2.1685911090466155,0.009340884899637417,"0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0","0.5435175831413446,0.4297304304952694,-0.2767669952499919,-0.5653730997110109,-0.3293750601031003,0.6124914554699159,0.513816932840709,0.22725673513199923,-0.5180628431097931,-0.6504972049461337,-0.2029018652200352,0.6464077852882415,0.4647233521162879,-0.1131606047656532,-0.5306758242942933,-0.43592911731487294,0.17287488398671053,0.6120938762361775,0.33179177591539866,-0.1762009805185073,-0.8063033456348522","0.6283185307179586,0.29594989625439655,-0.36624954096711737,-0.6234486632759213,-0.2203739806612402,0.4299133700921162,0.6088428350128894,0.1409789131199229,-0.4857930749438168,-0.5845280604517762,-0.0592155416113192,0.5330258039626867,0.5506002453651424,-0.023520628888213713,-0.571044039209176,-0.5072938143385091,0.10587210273008557,0.5995288440405374,0.455060757202302,-0.18646514995924854,-0.6183340353119642"
6,10,0.5,0.6283185307179586,0.01,9.81,3.3973930403629904,0.00840485451943747,"0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0","0.5289553987251134,0.3098241138713205,-0.15162015430979492,-0.42232201457967655,-0.6209033002800988,-0.165378206680836,0.04911221515380823,0.6748036660678214,0.7099248686196525,0.06778264039942355,-0.17251313100960328,-0.7329097825094157,-0.489898333218877,-0.1318301519343341,0.4849849674571859,0.4893564912917687,0.4959879954832929,-0.1793983822933942,-0.4430315239905642,-0.3673647314845709,-0.23737209844503188","0.6283185307179586,0.4161641944193727,-0.08781256273329932,-0.5284808834787733,-0.6051628851414401,-0.27117190118413803,0.2561815677373753,0.6006196322462849,0.537086171735913,0.10421544771031668,-0.40374990977707587,-0.6281118050263639,-0.4282857667777089,0.07134447306181624,0.5195164565143631,0.6093050434211681,0.28596506452906756,-0.2410044817251353,-0.5956777194180563,-0.5453274995433272,-0.1205410235184679"
7,10,0.5,0.6283185307179586,0.01,9.81,2.49536389472299,0.0030451484960629925,"0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0","0.524002622897299,0.2573886502926322,-0.21012694041961377,-0.44205977369678684,-0.5416550729657365,0.2331716883904099,0.6463623493472153,0.4731721630454575,-0.14083031557956743,-0.41235327568529073,-0.3598157695008206,0.041656650259511235,0.5208479802437451,0.5936846751865491,-0.09562995365305305,-0.64423307245071,-0.4640096241478927,0.024786597795012924,0.5045204622683069,0.6553252255779393,0.04900240067183792","0.6283185307179586,0.3394742194141526,-0.27664152587094715,-0.6243224599957209,-0.39749673193953416,0.2097908849194401,0.6124004159519627,0.4500507917527188,-0.1398377333171161,-0.5927380541907397,-0.4966001681241881,0.06779286672323809,0.5656085650624114,0.5367004449992026,0.0052720487488444046,-0.531337812091995,-0.5699640850732497,-0.07825750933290926,0.4902838324283875,0.5960373067651574,0.15006612527644975"
8,10,0.5,0.6283185307179586,0.01,9.81,2.9956315415712567,0.0015743553049375782,"0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0","0.4722833198495934,0.3846131870876355,-0.2245126250812478,-0.7266206278699628,-0.4079365444861955,-0.13845959697294838,0.36373550869058835,0.7313450091404381,0.2000629971048387,-0.3644500298261065,-0.5910628046172803,-0.42470867877102475,0.05184396786510882,0.4564083600063595,0.5126067729061267,0.4241606926113589,0.03374177034238257,-0.520710599955106,-0.4535754346595573,0.12966611969623906,0.49201944077742865","0.6283185307179586,0.3877109474350062,-0.162419782693201,-0.580162579349802,-0.5491311566648827,-0.09078638262515329,0.4417824300802533,0.6243182356258026,0.3282922566937904,-0.23170213972328702,-0.6036965685760256,-0.5109280503164451,-0.017829728525866034,0.4898648784958963,0.6123593793346801,0.2642698632218909,-0.2976657642088254,-0.6194876460586435,-0.46596206040894594,0.05538758040064953,0.5314150258495542"
9,10,0.5,0.6283185307179586,0.01,9.81,4.22434027396662,0.006684979592098584,"0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0","0.5992682133830954,0.4689078489438117,0.15561052748472476,-0.5504444664606758,-0.6155135732948074,-0.5015323402886467,-0.12691122445566463,0.25822590710995014,0.5819896397671525,0.7899886450676394,0.10057115658892886,-0.3747176972373603,-0.7304412789048793,-0.4859876897572458,-0.26532013533520615,0.2503441286857294,0.4649501704082984,0.4851710269272077,0.19824935703094462,-0.21339409877405296,-0.47653283635874744","0.6283185307179586,0.4576950442375841,0.03053101520431656,-0.41435546934846135,-0.6255068615256636,-0.49673322997977365,-0.09128825543028829,0.3670818158081226,0.6170914096229818,0.5311486497031881,0.15113623570368015,-0.3162867764289518,-0.603131341327473,-0.5606659937300168,-0.2094855236223582,0.262427124752291,0.583726752269414,0.5850558239821492,0.2657707790908742,-0.20600118593529365,-0.5590203585291533"
