file,host_in_file,n_obs,t_baseline_days,telescope,reference,pl_name,hostname,hd_name,hip_name,tic_id,ra,dec,sy_dist,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orblper,pl_orblpererr1,pl_orblpererr2,pl_orbtper,pl_orbtpererr1,pl_orbtpererr2,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_rvamp,pl_rvamperr1,pl_rvamperr2,st_mass,st_masserr1,st_masserr2,st_rad,st_raderr1,st_raderr2,st_teff,st_tefferr1,st_tefferr2,discoverymethod,disc_year,default_flag
UID_0001499_RVC_001.tbl,HD 1461,136,4687.106219999958,10m Keck I,"Rivera et al. 2010 (ApJ, 708, 1492)",HD 1461 c,HD 1461,HD 1461,HIP 1499,TIC 37748347,4.6762645,-8.0536206,23.4534,13.5052,0.0029,-0.0029,0.1117,0.0039,-0.0039,0.305,,,,,,,,,,,,,,,0.01758802,0.00229683,-0.00229683,0.01758802,0.00229683,-0.00229683,1.49,0.17,-0.17,1.02,,,,,,5765.0,18.0,-18.0,Radial Velocity,2015.0,1.0
UID_0001499_RVC_002.tbl,HD 1461,28,17.107529999688268,NASA-Keck Observatory Archive,"Rivera et al. 2010 (ApJ, 708, 1492)",HD 1461 b,HD 1461,HD 1461,HIP 1499,TIC 37748347,4.6762645,-8.0536206,23.4534,5.77152,0.00045,-0.00045,0.0634,0.0022,-0.0022,0.172,,,,,,,,,,,,,,,0.0202624,0.00191927,-0.00191927,0.0202624,0.00191927,-0.00191927,2.28,0.15,-0.15,1.02,,,,,,5765.0,18.0,-18.0,Radial Velocity,2010.0,1.0
UID_0001499_RVC_002.tbl,HD 1461,28,17.107529999688268,NASA-Keck Observatory Archive,"Rivera et al. 2010 (ApJ, 708, 1492)",HD 1461 c,HD 1461,HD 1461,HIP 1499,TIC 37748347,4.6762645,-8.0536206,23.4534,13.5052,0.0029,-0.0029,0.1117,0.0039,-0.0039,0.305,,,,,,,,,,,,,,,0.01758802,0.00229683,-0.00229683,0.01758802,0.00229683,-0.00229683,1.49,0.17,-0.17,1.02,,,,,,5765.0,18.0,-18.0,Radial Velocity,2015.0,1.0
UID_0001640_RVC_001.tbl,2MASS J00203151+3058293,28,766.0391899999231,2.5m Sloan Foundation Telescope,"Thomas et al. 2016 (PASP, 128, 5003)",HD 1605 b,HD 1605,HD 1605,HIP 1640,TIC 57983992,5.1317548,30.9750611,88.8047,577.2,2.5,-2.5,1.492,0.038,-0.038,0.095,0.057,-0.057,,,,216.0,41.0,-41.0,2463760.0,67.0,-67.0,,,,0.934,0.079,-0.079,0.934,0.079,-0.079,18.97,0.63,-0.63,1.33,0.09,-0.09,3.49,0.22,-0.22,4915.0,,,Radial Velocity,2015.0,1.0
UID_0001640_RVC_001.tbl,2MASS J00203151+3058293,28,766.0391899999231,2.5m Sloan Foundation Telescope,"Thomas et al. 2016 (PASP, 128, 5003)",HD 1605 c,HD 1605,HD 1605,HIP 1640,TIC 57983992,5.1317548,30.9750611,88.8047,2149.0,16.0,-16.0,3.584,0.099,-0.099,0.099,0.011,-0.011,,,,233.0,9.2,-9.2,2464691.0,79.0,-79.0,,,,3.62,0.23,-0.23,3.62,0.23,-0.23,47.47,0.71,-0.71,1.33,0.09,-0.09,3.49,0.22,-0.22,4915.0,,,Radial Velocity,2015.0,1.0
UID_0001640_RVC_002.tbl,2MASS J00203151+3058293,28,766.0391899999231,2.5m Sloan Foundation Telescope,"Thomas et al. 2016 (PASP, 128, 5003)",HD 1605 b,HD 1605,HD 1605,HIP 1640,TIC 57983992,5.1317548,30.9750611,88.8047,577.2,2.5,-2.5,1.492,0.038,-0.038,0.095,0.057,-0.057,,,,216.0,41.0,-41.0,2463760.0,67.0,-67.0,,,,0.934,0.079,-0.079,0.934,0.079,-0.079,18.97,0.63,-0.63,1.33,0.09,-0.09,3.49,0.22,-0.22,4915.0,,,Radial Velocity,2015.0,1.0
UID_0001640_RVC_002.tbl,2MASS J00203151+3058293,28,766.0391899999231,2.5m Sloan Foundation Telescope,"Thomas et al. 2016 (PASP, 128, 5003)",HD 1605 c,HD 1605,HD 1605,HIP 1640,TIC 57983992,5.1317548,30.9750611,88.8047,2149.0,16.0,-16.0,3.584,0.099,-0.099,0.099,0.011,-0.011,,,,233.0,9.2,-9.2,2464691.0,79.0,-79.0,,,,3.62,0.23,-0.23,3.62,0.23,-0.23,47.47,0.71,-0.71,1.33,0.09,-0.09,3.49,0.22,-0.22,4915.0,,,Radial Velocity,2015.0,1.0
UID_0001931_RVC_001.tbl,HD 2039,41,2461.166877000127,3.9m Anglo-Australian Telescope (AAT),"Butler et al. 2006 (ApJ, 646, 505)",HD 2039 b,HD 2039,HD 2039,HIP 1931,TIC 281461362,6.0851069,-56.649988,85.6922,1120.0,23.0,-23.0,2.2,0.06,-0.06,0.71,0.05,-0.05,,,,,,,,,,,,,6.29,1.16,-1.16,6.29,1.16,-1.16,153.0,22.0,-22.0,1.23,0.19,-0.19,1.19,0.03,-0.03,5945.0,36.0,-36.0,Radial Velocity,2002.0,1.0
UID_0001931_RVC_002.tbl,HD 2039,36,1393.0466999998316,3.9m Anglo-Australian Telescope (AAT),"Tinney et al. 2003 (ApJ, 587, 423)",HD 2039 b,HD 2039,HD 2039,HIP 1931,TIC 281461362,6.0851069,-56.649988,85.6922,1120.0,23.0,-23.0,2.2,0.06,-0.06,0.71,0.05,-0.05,,,,,,,,,,,,,6.29,1.16,-1.16,6.29,1.16,-1.16,153.0,22.0,-22.0,1.23,0.19,-0.19,1.19,0.03,-0.03,5945.0,36.0,-36.0,Radial Velocity,2002.0,1.0
UID_0002247_RVC_001.tbl,BD -17 0063,26,1760.2483740001917,3.6m,"Moutou et al. 2009 (A&A, 496, 513)",BD-17 63 b,BD-17 63,,HIP 2247,TIC 75377076,7.1413494,-16.2273254,34.4603,655.57,0.58,-0.58,,,,0.5439,0.0052,-0.0052,,,,113.8,1.8,-1.8,2457250.5,2.8,-2.8,,,,5.16,0.2,-0.2,,,,,,,0.741,0.04,-0.04,,,,,,,Radial Velocity,2008.0,1.0
UID_0002350_RVC_001.tbl,HD 2638,28,433.9099000003189,3.6m,"Moutou et al. 2005 (A&A, 439, 367)",HD 2638 b,HD 2638,HD 2638,HIP 2350,TIC 244178536,7.4990038,-5.76496,54.9621,3.4442,0.0002,-0.0002,0.04,0.0,0.0,0.0,,,,,,,,,,,,,,,0.42,0.03,-0.03,0.42,0.03,-0.03,67.4,0.4,-0.4,0.77,0.09,-0.09,0.94,0.03,-0.03,5186.0,8.0,-8.0,Radial Velocity,2005.0,1.0
UID_0002611_RVC_001.tbl,HD 2952,63,3258.90914000012,1.88m OAO,"Sato et al. 2013 (2013, PASJ, 65, 85)",HD 2952 b,HD 2952,HD 2952,HIP 2611,TIC 452910671,8.2938367,54.8948177,110.103,312.08,1.36,-1.69,1.117,0.003,-0.004,0.269,0.165,-0.15,,,,-155.6,34.4,-36.0,2454896.3,21.6,-48.0,,,,0.896,0.133,-0.125,0.896,0.133,-0.125,18.42,2.53,-2.43,1.91,0.42,-0.22,10.9,0.57,-0.81,4853.0,,,Radial Velocity,2013.0,1.0
UID_0002664_RVC_001.tbl,HD 37606,43,1065.091310000047,9.2m Hobby Eberly Telescope (HET),"Wittenmyer et al. 2007 (AJ, 134, 1276)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UID_0003093_RVC_001.tbl,54 Psc,42,3357.916222000029,10m Keck I,"Butler et al. 2006 (ApJ, 646, 505)",HD 3651 b,HD 3651,HD 3651,HIP 3093,TIC 434210589,9.8387218,21.2488844,11.1336,62.25,0.004,-0.004,0.295,0.029,-0.029,0.645,0.02,-0.02,,,,243.0,3.0,-3.0,,,,,,,0.228,0.011,-0.011,0.228,0.011,-0.011,16.6,0.6,-0.6,0.799,,,,,,5221.0,,,Radial Velocity,2003.0,1.0
