file,host,n_obs,n_planets,median_sigma_ms,rms_catalog_init,rms_random_best,rms_random_median,rms_random_worst,tperi_shifts_d,trend_coefs
UID_0057370_RVC_001.tbl,HD 102195,10,1,1.2000000000000002,2.16952490611074,2.169479785728272,2.169530144504628,2.1695445213485436,-1.7753,"0.156401,-0.0228284"
UID_0057370_RVC_002.tbl,HD 102195,14,1,23.6,21.06026962051949,21.05698786547332,21.057590057968046,21.05911161654291,+0.2711,"-3.5913,0.0508782"
UID_0057370_RVC_003.tbl,HD 102195,35,1,10.6,11.75828334675091,11.757863317194886,11.758283462965867,11.760752537695037,-1.7527,"-0.480144,-0.00987555"
UID_0057370_RVC_004.tbl,HD 102195,19,1,0.62,8.282018834048309,8.276202563331264,8.276916877231898,8.276923713660628,-1.7251,"0.0283369,0.000178148"
UID_0058952_RVC_001.tbl,HD 104985,26,1,6.7,19.986526191343327,19.98649770525851,19.98650713116028,19.98653414160076,-0.8377,"0.0291765,-5.66081e-05"
UID_0058952_RVC_002.tbl,HD 104985,52,1,6.35,25.76233153432854,25.762304883120645,25.762313547736817,25.76233848456447,-1.0430,"-0.00085749,-1.79321e-05"
UID_0059610_RVC_001.tbl,HD 106252,15,1,11.0,8.570587804203377,8.57056070715295,64.44749520571796,64.44753377242832,+23.2830,"-0.0160795,-3.9126e-05"
UID_0059610_RVC_002.tbl,HD 106252,15,1,10.97,34.29454387019124,8.027748332394001,62.885170612465764,62.885286126042324,-393.6283,"0.338905,0.000570072"
UID_0059610_RVC_003.tbl,HD 106252,40,1,10.5,12.174634927124307,12.174624918286876,12.174634427384596,107.72330419022812,+9.3124,"0.010207,-2.53174e-06"
UID_0059610_RVC_004.tbl,HD 106252,43,1,9.3,8.044515142084888,8.0445178051139,11.761368495965874,25.612180040499524,+5.3932,"-0.0209556,3.84426e-05"
UID_0059610_RVC_005.tbl,HD 106252,12,1,10.350000000000001,11.321223305955602,11.321222848352788,11.321224599835043,18.71377273654398,+27.6366,"-0.00921455,-5.60342e-07"
UID_0060081_RVC_001.tbl,HD 107148,35,2,2.9,3.4763359616215137,3.476336027830203,3.476336838045786,3.5581247571948915,"-21.5133,+4.3231","0.00312324,-4.26508e-06"
UID_0060202_RVC_001.tbl,11 Com,28,1,5100.0,152524.73310148914,152269.70589112907,152391.15903627887,152537.5821169824,-139.5038,"250.561,-0.1023"
UID_0060202_RVC_002.tbl,11 Com,18,1,29400.0,133535.41387096263,130494.57375726303,131358.5256888923,132540.12579559028,-5.5435,"-179.529,0.906443"
UID_0060644_RVC_001.tbl,HD 108147,54,1,5.35,11.692226665308864,11.691140867167363,17.010434742228533,21.822154236302,+0.0350,"0.00465691,6.06547e-06"
UID_0060644_RVC_002.tbl,HD 108147,118,1,7.0,16.98553293349016,16.98375835980822,16.984840562351433,16.985531505552785,-0.2391,"0.013282,6.1802e-06"
UID_0061028_RVC_001.tbl,HD 108874,20,2,4.7,6.207347594754978,6.207347600444802,6.508515904451408,7.010134877487855,"-185.9311,+227.3033","-0.0251204,3.45566e-05"
UID_0061028_RVC_002.tbl,HD 108874,49,2,3.4,3.824248348664684,3.8242464731813746,3.824249480437617,3.8242508820896712,"+34.8947,-17.8457","0.00250518,3.5231e-06"
UID_0061028_RVC_003.tbl,HD 108874,40,2,6.45,4.682918943673728,4.3984698308245935,4.682902223775962,4.902676495472756,"+42.9169,-301.4125","-0.0133694,3.83539e-05"
UID_0061028_RVC_004.tbl,HD 108874,55,2,1.6,4.475298502117485,4.475292300072943,4.475295459771584,4.475296940604812,"+32.4269,+9.6589","0.00130142,-3.15643e-07"
UID_0061595_RVC_001.tbl,HD 109749,21,1,2.89,2.827051849036671,2.8270453333528263,2.8270520875784855,2.827061728439548,-2.2909,"-0.00709071,-2.34042e-05"
