pl_name,hostname,hd_name,hip_name,tic_id,ra,dec,sy_dist,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orblper,pl_orblpererr1,pl_orblpererr2,pl_orbtper,pl_orbtpererr1,pl_orbtpererr2,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_rvamp,pl_rvamperr1,pl_rvamperr2,st_mass,st_masserr1,st_masserr2,st_rad,st_raderr1,st_raderr2,st_teff,st_tefferr1,st_tefferr2,discoverymethod,disc_year,default_flag
HATS-18 b,HATS-18,,,TIC 14614418,173.9574203,-29.1560639,624.368,0.83784,4.7e-07,-4.7e-07,0.0174,0.00098,-0.00098,,,,85.29,0.013,-0.013,,,,,,,,,,1.9795,0.076,-0.076,,,,415.2,10.0,-10.0,1.037,0.047,-0.047,1.02,0.057,-0.031,5600.0,120.0,-120.0,Transit,2016.0,1
OGLE-2012-BLG-0950L b,OGLE-2012-BLG-0950L,,,,272.019257,-29.7315826,2600.0,,,,2.6,0.3,-0.5,,,,,,,,,,,,,,,,0.11,0.03,-0.02,,,,,,,0.57,0.06,-0.1,,,,,,,Microlensing,2016.0,1
OGLE-2014-BLG-1760L b,OGLE-2014-BLG-1760L,,,,269.409,-28.9620472,7056.0,,,,1.887,0.38,-0.38,,,,,,,,,,,,,,,,0.931,0.117,-0.117,,,,,,,0.803,0.097,-0.097,,,,,,,Microlensing,2016.0,1
HD 9174 b,HD 9174,HD 9174,HIP 6993,TIC 439501096,22.5043352,-19.6052945,81.4893,1179.0,34.0,-34.0,2.2,0.09,-0.09,0.12,0.05,-0.05,,,,101.99,37.82,-37.82,,,,,,,1.11,0.14,-0.14,1.11,0.14,-0.14,20.8,2.2,-2.2,1.03,0.05,-0.05,1.67,0.07,-0.07,5577.0,100.0,-100.0,Radial Velocity,2016.0,1
Kepler-761 b,Kepler-761,,,TIC 159442087,290.503599,44.1436249,830.707,10.12804789,2.905e-05,-2.905e-05,,,,,,,,,,,,,,,,2454972.11542,0.00237,-0.00237,,,,,,,,,,0.95,0.055,-0.064,0.93,0.11,-0.074,5706.0,130.9,-104.39,Transit,2016.0,1
HD 68402 b,HD 68402,HD 68402,HIP 39589,TIC 272546396,121.3474609,-74.4100732,78.4293,1103.0,33.0,-33.0,2.18,0.09,-0.09,0.03,0.06,-0.06,,,,17.19,131.78,-131.78,,,,,,,3.07,0.35,-0.35,3.07,0.35,-0.35,54.7,5.3,-5.3,1.12,0.05,-0.05,1.02,0.05,-0.05,5950.0,100.0,-100.0,Radial Velocity,2016.0,1
HD 72892 b,HD 72892,HD 72892,HIP 42098,TIC 405344271,128.7195554,-14.4574311,69.7311,39.44603,0.00168,-0.00145,0.228,0.009,-0.01,0.419,0.003,-0.003,,,,343.942,0.916,-0.508,2456412.057,0.072,-0.049,,,,5.468,0.452,-0.475,5.468,0.452,-0.475,355.745,1.505,-1.353,1.01,0.128,-0.128,,,,,,,Radial Velocity,2016.0,1
HD 128356 b,HD 128356,HD 128356,HIP 71481,TIC 1056530200,219.2702793,-25.8031728,26.1548,298.2,1.6,-1.6,0.87,0.03,-0.03,0.57,0.08,-0.08,,,,84.22,4.58,-4.58,,,,,,,0.89,0.07,-0.07,0.89,0.07,-0.07,36.9,1.2,-1.2,0.65,0.05,-0.05,0.85,0.02,-0.02,4875.0,100.0,-100.0,Radial Velocity,2016.0,1
HD 147873 b,HD 147873,HD 147873,HIP 80486,TIC 211080657,246.4380471,-33.5672217,109.055,116.596,0.023,-0.023,0.522,0.018,-0.018,0.207,0.013,-0.013,,,,80.21,2.86,-2.86,,,,,,,5.14,0.34,-0.34,5.14,0.34,-0.34,171.5,1.2,-1.2,1.38,0.05,-0.05,2.29,0.1,-0.1,5972.0,100.0,-100.0,Radial Velocity,2016.0,1
HD 147873 c,HD 147873,HD 147873,HIP 80486,TIC 211080657,246.4380471,-33.5672217,109.055,491.54,0.79,-0.79,1.36,0.05,-0.05,0.23,0.03,-0.03,,,,41.83,11.46,-11.46,,,,,,,2.3,0.18,-0.18,2.3,0.18,-0.18,47.9,1.7,-1.7,1.38,0.05,-0.05,2.29,0.1,-0.1,5972.0,100.0,-100.0,Radial Velocity,2016.0,1
