host,file,n_obs,best_kernel,logL,BIC,AIC,n_params,convergence_gap,ks_statistic,ks_pvalue,lb_statistic,lb_pvalue,lb_df,whitened_std,whitened_kurt_excess,n,p_log_sigma,p_log_rho,p_log_Q,p_log_jitter,p_log_period,p_log_Q0,p_log_dQ,p_logit_f,p_sho.log_sigma,p_sho.log_rho,p_sho.log_Q,p_matern32.log_sigma,p_matern32.log_rho
HD 111232,UID_0062534_RVC_001.tbl,38,sho,-129.3511306297629,273.25260589843134,266.7022612595258,4,3.7075105680066542,0.12664460895904484,0.534203423749562,7.586701235823865,0.37044346149075413,7,0.9746741361244434,0.594972739656423,38,1.1475555520788936,3.254013390799928,6.907755278982137,1.38294549781005,,,,,,,,,
HD 111232,UID_0062534_RVC_002.tbl,15,matern32,-42.26003065641021,92.64421191612705,90.52006131282042,3,0.5865719767193269,0.11512821932642148,0.975180099851494,2.801927535170483,0.42318270873466635,3,0.9785612419212836,-0.19052123024529122,15,-3.1486578155561675,6.165657294243017,,0.7378325912638742,,,,,,,,,
HD 114386,UID_0064295_RVC_001.tbl,58,matern32,-217.30213722500986,446.785603481659,440.6042744500197,3,7.339287275944173,0.08572850091515483,0.7551535159970393,8.254063954431102,0.6903805691289107,11,1.0383094226401268,-0.4535498200463475,58,-2.2221846891069443,4.817832895647548,,1.8866826601281954,,,,,,,,,
HD 114783,UID_0064457_RVC_001.tbl,54,sho,-151.18168949893544,318.31931518412796,310.3633789978709,4,0.7805067226362041,0.11925026628217772,0.39519420373432934,12.895198259587605,0.22959058510750252,10,0.9541773988531957,0.1604881883380802,54,1.4191438503390805,4.251345927500932,0.8176918735181387,-7.486910734797352,,,,,,,,,
HD 114783,UID_0064457_RVC_002.tbl,37,matern32,-106.07997220112395,222.99269814018058,218.1599444022479,3,0.656570384180597,0.14864318199221738,0.35184420969864094,6.1451752482073365,0.5229041055015327,7,0.9989253830785597,1.9395318804456272,37,1.2346410323436883,2.9518677434143097,,0.5704261916857917,,,,,,,,,
HD 114783,UID_0064457_RVC_003.tbl,34,matern32,-100.17609415717268,210.93126988819387,206.35218831434537,3,0.0,0.11332515786750531,0.7329198072174814,5.3209539980761305,0.5033552779332777,6,0.7767189522022605,-0.46782752805958383,34,-3.1049724985082605,2.2993438457693323,,-7.710142684496352,,,,,,,,,
HD 114729,UID_0064459_RVC_001.tbl,38,sho,-112.54193999015413,239.6342246192138,233.08387998030827,4,4.976711946909546,0.15377067693654584,0.2985584460854118,5.123479232032487,0.6448974183783385,7,1.0093267780063149,-0.4617103233820372,38,1.2508320895252523,5.200791858111669,3.1740501643098327,0.6190407746505926,,,,,,,,,
HD 114729,UID_0064459_RVC_002.tbl,42,sho,-118.61562183264876,252.181922138431,245.2312436652975,4,5.722589228642491,0.17605111837644138,0.13094440240283345,10.1137076084776,0.25713569326356545,8,0.9963416808566861,-1.2549214766539207,42,0.8744423087274451,5.211592748503348,6.907755278982137,0.7271170372213996,,,,,,,,,
61 Vir,UID_0064924_RVC_001.tbl,26,matern32,-103.91874134033634,217.61177229473714,213.83748268067268,3,0.1573944606342934,0.1307227337664523,0.7177414890836453,3.8865685609254417,0.5658603104152057,5,1.0782506286042353,1.1076293800031136,26,-1.5927619427438546,6.351545561161877,,1.2334975212587775,,,,,,,,,
61 Vir,UID_0064924_RVC_002.tbl,126,matern32,-234.6808963030365,483.8706383269274,475.361792606073,3,1.6612773379165446e-09,0.07229713652578584,0.5025881594960222,14.14003208206107,0.8233255680768461,20,1.005027228451053,-0.05075426305362418,126,0.5192122023353378,1.8433284902330005,,-0.07626680251390737,,,,,,,,,
70 Vir,UID_0065721_RVC_001.tbl,74,sho,-243.27467660042856,503.7656135736738,494.5493532008571,4,4.358260039679237,0.06569610004215062,0.8858800049369353,26.409034497424038,0.02295310707860254,14,0.941527496671025,-0.426818693308078,74,1.5213269469618418,4.055831497296927,0.5336053727817526,-4.862897925415839,,,,,,,,,
70 Vir,UID_0065721_RVC_002.tbl,35,matern32,-111.75844003482013,234.18292425410849,229.51688006964025,3,0.0,0.13992930975653933,0.45842917966344077,9.199707155256121,0.23863420103382704,7,0.7911467723547554,-0.5754306908654017,35,-2.872985302205043,4.26163707999598,,-7.478155488193135,,,,,,,,,
HD 117176,UID_0065721_RVC_005.tbl,21,matern32,-73.44360551442564,156.02077834202154,152.88721102885128,3,5.5065811466192827e-08,0.12139768717489918,0.8801134804238988,14.17500374591644,0.006756961437016873,4,0.8262463271966378,-1.43436813808478,21,-2.4416294968940053,4.952987113284668,,-7.046799682882097,,,,,,,,,
HD 117207,UID_0065808_RVC_001.tbl,43,sho,-110.76744061107325,236.57968168492076,229.5348812221465,4,3.3788306769780547,0.15697035269411252,0.21593075040542187,3.91798646753028,0.8644461209554755,8,0.9853069944679786,-0.3939991273578727,43,0.5991105985756355,5.204887247891141,6.907755278982137,-7.810912251806772,,,,,,,,,
HD 117207,UID_0065808_RVC_002.tbl,35,matern32,-102.36913139389635,215.40430697226094,210.7382627877927,3,3.8242101859135715,0.12361551741078691,0.6145821676811545,8.973192047291446,0.2545864860553777,7,1.0188639187057567,0.8582764876413123,35,-3.0576901252128157,5.119926355253158,,1.1403772576621853,,,,,,,,,
HD 117618,UID_0066047_RVC_001.tbl,57,sho,-173.3402748568129,362.852754784964,354.6805497136258,4,4.436499554940724,0.1058115199534978,0.5121025881074094,6.41075330755564,0.8446012856046606,11,1.0152969106511125,0.06501494299689581,57,1.4547278220588225,4.7920505420534685,3.087090890363345,-7.435208695884789,,,,,,,,,
HD 117618,UID_0066047_RVC_002.tbl,47,sho,-134.05422812762797,283.5090466620962,276.10845625525593,4,1.898803684111499,0.06929071406151743,0.9660736763820166,8.30216820417781,0.5040051163597007,9,0.9423952656440364,-0.6010093055866528,47,0.728321057224953,4.973750079730218,6.907755278982137,-7.635280520340448,,,,,,,,,
HD 118203,UID_0066192_RVC_001.tbl,43,matern32,-185.31859192780217,381.920784202685,376.63718385560435,3,5.36324722588688e-06,0.10149750168541949,0.7294137505641838,12.977905749748386,0.11261206916449762,8,0.9681562338446431,-0.005741841658316371,43,2.6084364806171174,0.910360481303317,,-5.8931686611799075,,,,,,,,,
HD 120084,UID_0066903_RVC_001.tbl,33,matern32,-109.11003141532746,228.70958551505436,224.2200628306549,3,10.014937385776534,0.07789029776234457,0.978925037563572,2.9936701001778356,0.8096408806827594,6,1.00475645091159,-0.6944579092147687,33,-2.6237677725397064,7.38903453643288,,1.5954480850574755,,,,,,,,,
HD 120136,UID_0067275_RVC_003.tbl,24,sho,-139.14902440721863,291.01026413582906,286.29804881443727,4,9.729712644457322e-07,0.14203492777238547,0.6664853701989233,1.4956588542181743,0.8274101676271943,4,1.003871758100872,1.3284027909817775,24,4.523508834365426,4.889798139185376,1.653700176261394,-2.721274985080281,,,,,,,,,
HD 121504,UID_0068162_RVC_001.tbl,100,matern32,-372.24984585152487,758.3152022610141,750.4996917030497,3,3.5731016042678903,0.06666821415333551,0.7401526230396122,17.829348656879915,0.5986488600526718,20,0.999064744707393,0.17694782416299537,100,2.3740813014448205,2.79024161766779,,1.4787139188452674,,,,,,,,,
HD 125612,UID_0070123_RVC_001.tbl,19,matern32,-55.000586352531364,118.83448964256205,116.00117270506273,3,0.00012164036991890725,0.10373165807912083,0.9733606261099363,5.79347499016614,0.12210203186931945,3,1.0060249187516477,-0.8690402507171995,19,-3.1222346083529984,3.331392037353974,,1.3168878265625517,,,,,,,,,
Proxima Cen,UID_0070890_RVC_001.tbl,144,matern32,-278.46634018229634,571.8421202633207,562.9326803645927,3,9.36211108637508e-11,0.062349090828062226,0.607690461534348,24.339671816909707,0.2278694236459835,20,1.0117175162582965,1.4647856347336203,144,0.5657036188800539,2.444237507593954,,-0.20667737306822023,,,,,,,,,
Proxima Cen,UID_0070890_RVC_002.tbl,70,sho,-134.9301822080148,286.85434538422703,277.8603644160296,4,0.23211057034654914,0.09653748282158586,0.5012138349698699,12.151010266507651,0.5941768190718418,14,1.004732406963081,-0.7760834517479651,70,0.5218067110971568,3.1737292060225957,-0.4791325037731919,-0.8351318336633851,,,,,,,,,
HD 129445,UID_0072203_RVC_001.tbl,17,matern32,-53.52149314156952,115.5426263153077,113.04298628313904,3,0.9926605466949994,0.19394840583599454,0.485476557063413,9.447260508569348,0.02389908976374744,3,0.9532210313174251,-0.3507857586514551,17,-0.3540204301778836,7.674658787733605,,1.2191591280640142,,,,,,,,,
HD 130322,UID_0072339_RVC_002.tbl,118,matern32,-465.19365241112706,944.6993586956511,936.3873048222541,3,1.0168150765821338e-08,0.09123657395879634,0.26331412549067146,15.813957956086352,0.7280968445141542,20,0.9240100426696526,0.3430364416369227,118,1.957301039489879,0.6337845745923699,,-6.556921409375988,,,,,,,,,
HD 130322,UID_0072339_RVC_003.tbl,30,sho,-96.03708439703655,205.67895832072173,200.0741687940731,4,2.9446458019274786,0.12056939330839422,0.7310589277637801,15.131359918036107,0.019259270222389935,6,0.8520103812720915,-0.5785285260576685,30,1.2691608520063633,3.6609351506747543,5.194347088508682,-4.591540030068328,,,,,,,,,
HD 136118,UID_0074948_RVC_001.tbl,37,sho,-157.1688317721684,328.7813351949137,322.3376635443368,4,1.3279405940690765,0.08972378467278319,0.9010991042414331,11.195981822024384,0.130295908626876,7,1.0401331164869225,0.4170982833444494,37,1.957698807472768,4.079901197677742,6.907755278982137,-5.2812877725466505,,,,,,,,,
HD 136118,UID_0074948_RVC_003.tbl,63,matern32,-210.64243711094986,433.7142784010743,427.2848742218997,3,2.233661473728489,0.06398932995375844,0.9440278324086249,15.939345980220967,0.19402995061981299,12,0.9472101768021398,-0.43731558759656197,63,1.6330494016137307,3.794286641210669,,-0.7835928703156452,,,,,,,,,
HD 136118,UID_0074948_RVC_004.tbl,64,matern32,-244.36982540119266,501.2163000524643,494.7396508023853,3,1.23412661423572e-07,0.10169366276680014,0.49068947149544195,29.041511614417324,0.0038844536276992914,12,0.91937515440847,0.06272466202679805,64,2.3699740013087456,3.6234345200703255,,-6.527315014668911,,,,,,,,,
