host,file,n_obs,best_kernel,logL,BIC,AIC,n_params,convergence_gap,ks_statistic,ks_pvalue,lb_statistic,lb_pvalue,lb_df,whitened_std,whitened_kurt_excess,n,p_log_sigma,p_log_rho,p_log_Q,p_log_jitter,p_log_period,p_log_Q0,p_log_dQ,p_logit_f,p_sho.log_sigma,p_sho.log_rho,p_sho.log_Q,p_matern32.log_sigma,p_matern32.log_rho
HD 164922,UID_0088348_RVC_001.tbl,64,matern32,-143.07855141700983,298.63375208409866,292.15710283401967,3,0.16383858108665095,0.09755365753736878,0.543664399859138,14.048242286858306,0.29763822564830633,12,0.975256341329147,0.7963770837233066,64,-3.7849082799606033,8.090883945735358,,-0.42899052599206816,,,,,,,,,
HD 164604,UID_0088414_RVC_001.tbl,18,sho,-60.051899565913615,131.66528616341188,128.10379913182723,4,2.1982782963677963,0.161350951430294,0.6784245375374648,3.193902775355897,0.36268445724439,3,1.080674052589048,-0.5486915672956529,18,1.7475179847570934,4.339987579295679,4.20663596977962,-7.141200204971601,,,,,,,,,
HD 167042,UID_0089047_RVC_001.tbl,31,sho,-97.82857926121903,209.39310734037866,203.65715852243807,4,2.332156698250344,0.10508084482254088,0.8483174887659651,5.635660857221163,0.4652142122673939,6,1.0416958744680902,0.9327244352230917,31,1.0930314863314654,4.8248585602542535,6.907755278982137,1.1483880522374006,,,,,,,,,
HD 167042,UID_0089047_RVC_002.tbl,29,matern32,-95.64210586345456,201.38609921686853,197.28421172690912,3,0.41071573182108523,0.08248452923573796,0.9797811587271107,6.312666214201436,0.2769727913660083,5,0.9561938484130125,-0.3917506377480424,29,1.4259839986605696,4.3540231722649825,,-6.7840519233328855,,,,,,,,,
HD 168443,UID_0089844_RVC_001.tbl,106,matern32,-300.99388489792943,615.978087078195,607.9877697958589,3,2.7542053490427065,0.0794343084844894,0.4907317913450201,18.77084821659801,0.5367628969029066,20,1.0044710479962988,0.34408671006167557,106,1.1451463852265726,2.7263144945300137,,0.7871940378175968,,,,,,,,,
HD 168443,UID_0089844_RVC_002.tbl,30,sho,-100.67199498922734,214.94877950510332,209.3439899784547,4,2.95085459041357,0.07873344787135816,0.9850840399119367,9.083937843738173,0.16891220736713863,6,1.0058464078072746,-0.4950630696551519,30,1.476485055802975,1.9251965567953695,6.599330534277708,0.6945737221840114,,,,,,,,,
HD 168443,UID_0089844_RVC_003.tbl,66,sho,-191.6735925179459,400.1058040039975,391.3471850358918,4,3.542883247404575,0.053708685959773975,0.9858774594605515,17.25494762179943,0.18790993195949213,13,1.0337178466389236,3.2417522074343443,66,0.7732173118666098,4.08769946419171,6.907755278982137,1.137932695383318,,,,,,,,,
HD 168443,UID_0089844_RVC_004.tbl,72,matern32,-265.8379690262794,544.5059364096069,537.6759380525588,3,3.170601194578012,0.1388907564830193,0.11290215951080573,15.887760925928482,0.32027658404419124,14,1.00414817500302,-0.06149350384364549,72,1.8032134064746381,2.7796393185538775,,1.43250549359172,,,,,,,,,
HD 168443,UID_0089844_RVC_005.tbl,22,matern32,-75.94485906639575,161.16284549286644,157.8897181327915,3,0.46657073817917194,0.1184548840038111,0.8817532308614963,3.6644375299085405,0.453319390975533,4,1.0340197977190646,1.4585760214752597,22,-2.538728077533536,7.579191778665313,,1.3164141838781998,,,,,,,,,
HD 168746,UID_0090004_RVC_001.tbl,16,matern32,-42.44468259407239,93.20713135486412,90.88936518814478,3,3.571604167973419e-08,0.1646651016850581,0.7190921430614,3.7455885171239163,0.29027885068020254,3,0.9070494692523438,-0.9592986311565008,16,0.7491009539821941,7.490541428230643,,-7.827979190386073,,,,,,,,,
HD 168746,UID_0090004_RVC_002.tbl,154,matern32,-574.9527997620751,1165.016457331391,1155.9055995241501,3,5.242545527464586,0.063612410720434,0.5401786686025939,26.257680728636416,0.1574691539286628,20,1.0048349079542307,1.5642223163468199,154,1.7591225586788917,2.5161939931805453,,1.6086509228217465,,,,,,,,,
HD 169830,UID_0090485_RVC_001.tbl,35,sho,-127.24612442349189,268.71364109294143,262.4922488469838,4,3.5560905222971826,0.11656863648098847,0.6852115471544776,10.907682739206122,0.14269685522971975,7,0.9325825441633766,-0.9545557124112549,35,1.862673461656937,3.5652428669421665,6.907755278982137,-5.027108386923894,,,,,,,,,
HD 170469,UID_0090593_RVC_001.tbl,35,sho,-91.98651797083858,198.1944281876348,191.97303594167715,4,4.948811331370962,0.21456708782602046,0.06808008477116767,11.194639674254704,0.13035139402212437,7,0.9924862699394204,1.2433690211637947,35,1.045842478895407,4.578849398266862,1.9097811815824965,0.6371983191052433,,,,,,,,,
HD 173416,UID_0091852_RVC_001.tbl,30,sho,-119.54070471038327,252.68619894741516,247.08140942076653,4,3.8280593386845965,0.10683420336010319,0.847654468047759,8.225004328761168,0.22207808237576998,6,0.9900649987402713,-0.7232381394406486,30,2.2692219857554576,5.789781959184142,6.907755278982137,2.282021205753275,,,,,,,,,
HD 173416,UID_0091852_RVC_002.tbl,22,sho,-100.74556897356504,213.85530776056333,209.49113794713008,4,1.7816130607911305,0.17761050336755363,0.440754480842828,6.304309570619959,0.17754567833480583,4,0.8053566027519307,-0.3194734985130889,22,2.775931966296394,1.9109425993588989,6.907755278982137,-0.6304945834966499,,,,,,,,,
HD 175541,UID_0092895_RVC_001.tbl,29,sho,-83.9523396956617,181.3738627112693,175.9046793913234,4,17.08441495270951,0.07945626054639765,0.9861277074237776,2.901236671551179,0.7152090043380207,5,1.0094747180415886,0.347851918755111,29,0.7046850561340364,6.943083030904333,6.907755278982137,1.283533805003126,,,,,,,,,
HD 177830,UID_0093746_RVC_001.tbl,54,matern32,-158.93570333710824,329.8383588139093,323.8714066742165,3,0.367848753538226,0.07623087521162292,0.8885500079257342,7.689947843920581,0.6590929843427853,10,0.9950614175623492,0.012018215546263367,54,1.0153284971323349,3.8513532390562433,,1.2344401478992932,,,,,,,,,
HD 177830,UID_0093746_RVC_002.tbl,29,rotation,-78.61466270428505,177.43310038848895,169.2293254085701,6,3.784102355796165,0.12191354279420769,0.736745487453607,4.954734626334986,0.4214294089621926,5,1.1345694775405244,0.6666125733686536,29,1.190665857828538,,,-7.712926682981577,2.099760825329426,6.291748586117655,-6.885193729474429,3.1742212977184914,,,,,
HD 179949,UID_0094645_RVC_001.tbl,65,sho,-228.10953797554095,472.9166250306644,464.2190759510819,4,2.3233605392542245,0.0792504498537151,0.7791779767288539,10.80020468741858,0.627550799211249,13,0.9334868005773183,0.5833380492120273,65,2.0847904919361913,2.4130062108856984,2.2504172742069986,-6.773889689616968,,,,,,,,,
HD 179949,UID_0094645_RVC_002.tbl,23,sho,-79.9144600164453,172.3708968966072,167.8289200328906,4,0.8536775305936573,0.14644038599247616,0.654467414165856,0.9632224171874341,0.9153204480984959,4,0.9907178799795441,-1.0000738727440062,23,1.8527055090123135,4.6447372591473295,2.7877555820996616,1.3691171706955874,,,,,,,,,
HD 179949,UID_0094645_RVC_003.tbl,20,matern32,-75.3852809609168,159.75775874249558,156.7705619218336,3,3.491822054038593,0.23821991596775105,0.1752582077895921,1.2045346987997048,0.8773514463271788,4,0.9397769682426417,-0.8256168720896002,20,2.003564275320149,6.59991403567961,,1.9074449153389978,,,,,,,,,
HD 179949,UID_0094645_RVC_005.tbl,17,matern32,-63.572682607990394,135.64500524814943,133.1453652159808,3,6.523786289847067e-05,0.09706231336548177,0.9921968807150862,6.641130472305687,0.08425978097412723,3,1.0270669899008869,-0.8020261731088842,17,1.402827908939223,7.953047744045757,,-0.4974840819876205,,,,,,,,,
HD 181433,UID_0095467_RVC_001.tbl,107,matern32,-183.59202875157325,381.2025440065322,373.1840575031465,3,9.012303295900267,0.0852360500565093,0.3963145260411154,29.519005527501754,0.07803143393527523,20,1.0289316509800694,-0.20378076671619771,107,-0.06175913389380062,2.2399646448337682,,-0.14556666659632433,,,,,,,,,
HD 183263,UID_0095740_RVC_001.tbl,34,matern32,-90.14688452084214,190.87285061553274,186.29376904168427,3,0.016404919072030566,0.0827016411727784,0.959170162601071,9.291067521262137,0.15785819567400938,6,1.0445985498776753,2.442084500154831,34,-3.3243525838857813,7.377004681370423,,-0.3668665608997223,,,,,,,,,
HD 183263,UID_0095740_RVC_002.tbl,29,matern32,-86.4811978341762,183.0642831583118,178.9623956683524,3,0.3895047362928352,0.14156768796852093,0.5586587994104305,9.314850038054681,0.09714587572738909,5,0.988057215902529,0.26656150139853674,29,-1.8556288447682325,6.88984178614706,,0.7391335478882458,,,,,,,,,
HD 183263,UID_0095740_RVC_003.tbl,41,matern32,-109.95676852171071,231.05425324353436,225.91353704342143,3,0.0006274993737491741,0.0637712473514297,0.9924625085536282,7.396812489819126,0.4944859430462576,8,1.0011011753144234,0.8390883511882334,41,-3.3397821069342997,7.742346295002665,,1.1681682061377876,,,,,,,,,
HD 231701,UID_0096078_RVC_001.tbl,17,matern32,-50.51592065852233,109.53148134921332,107.03184131704467,3,1.9753493203113877,0.1388806738750658,0.8548033406093454,6.553088060556451,0.08759219066968349,3,1.0331742584870278,0.11392530547646595,17,-0.7148238883706364,6.9985290210582605,,1.1684748893642216,,,,,,,,,
HD 185269,UID_0096507_RVC_001.tbl,30,matern32,-110.6673739058749,231.53833995673625,227.3347478117498,3,1.3651120024457697,0.1310418335963477,0.6343206798719019,6.385573615761509,0.38141118750183445,6,0.9906748118709353,0.070891624385093,30,1.6247004147441821,1.4640086709307534,,1.8111712901810475,,,,,,,,,
16 Cyg B,UID_0096901_RVC_001.tbl,95,matern32,-318.80858922228447,651.2788091193705,643.6171784445689,3,4.988831418899565,0.09608684078728097,0.32340840496816026,36.034027249862774,0.010454420356611926,19,0.9528705494291244,-0.2018301032971399,95,-2.643392708913601,8.561061150720288,,1.343193791963751,,,,,,,,,
16 Cyg B,UID_0096901_RVC_002.tbl,29,matern32,-123.35732416357088,256.81653581710117,252.71464832714176,3,1.758948542374128e-09,0.13417965684333627,0.6253804320092364,7.998299779957811,0.15632935493457256,5,0.8524549420346232,-0.7714520533383471,29,-1.7951493623089014,4.342434352496556,,-6.400319548296992,,,,,,,,,
16 Cyg B,UID_0096901_RVC_003.tbl,41,sho+matern32,-130.1192804207397,282.51999324170527,272.2385608414794,6,4.4479610247855135,0.1770241066495366,0.1353820391392928,7.1167359294745065,0.5240917996436549,8,0.8646484638910714,-0.006361507068124883,41,,,,-5.448716578267414,,,,,1.5036595727642061,4.546939459040138,6.907755278982137,0.9485652478505415,8.11100805414934
HD 187123,UID_0097336_RVC_001.tbl,65,matern32,-148.3135694410651,309.15030069181716,302.6271388821302,3,0.025137209379522574,0.07634364455209197,0.8152774661729965,8.480282970891986,0.8109656599875813,13,0.943818341761654,-0.5682008909551937,65,-0.990570877342843,0.9734257135149251,,-8.311091140441768,,,,,,,,,
HD 187123,UID_0097336_RVC_002.tbl,57,sho,-211.2347168404471,438.64163875223244,430.4694336808942,4,2.0298177381295375,0.08968641781879916,0.7149826273051552,16.47079717481238,0.124532947301907,11,1.0036960171956413,-0.8951589907408461,57,1.261315291557743,4.513120917108219,6.907755278982137,-6.4469616779919345,,,,,,,,,
HD 187123,UID_0097336_RVC_003.tbl,41,sho,-100.55886894631227,215.97202615944178,209.11773789262455,4,2.958806503445473,0.10048870083053235,0.7647267414649034,9.717536026952262,0.2854135206320956,8,1.0009849772266415,-0.34419525340958756,41,0.2807047955197442,1.067409734394138,6.907755278982137,-5.437952815806161,,,,,,,,,
HD 187085,UID_0097546_RVC_001.tbl,40,sho,-126.32688771510661,267.40929324666894,260.6537754302132,4,5.856974437700757,0.10085828898846005,0.7731993055442188,4.939743507230488,0.763996605029227,8,0.9761060532505802,0.10466699160546122,40,1.601094559924058,5.040703716921206,1.7273548568519934,-0.800535127211875,,,,,,,,,
HD 188015,UID_0097769_RVC_001.tbl,44,sho,-115.73245281756328,246.6016641707996,239.46490563512657,4,6.484371747369607,0.08754595330058201,0.8595816902921596,15.605921850574603,0.04838069821407309,8,0.961555559712527,-0.1938176342980622,44,1.0315448673850607,2.9479923632471596,4.605774101336455,-4.826324774091326,,,,,,,,,
HD 188015,UID_0097769_RVC_002.tbl,35,sho,-113.06936856352701,240.36012937301166,234.13873712705401,4,6.048784826653332,0.12106331648299629,0.6401434027247819,4.996221520445611,0.6604243609777208,7,1.0763790577350316,-0.4780775398271704,35,1.8954289606999792,2.12985113815934,5.0445498134374205,-2.589658934590723,,,,,,,,,
HD 190228,UID_0098714_RVC_001.tbl,51,matern32,-181.3690288431083,374.5335345843896,368.7380576862166,3,3.0445335141848773e-10,0.12219941450591076,0.39940607173400844,13.399860508713344,0.20216623500391562,10,0.9586351354964613,-0.47512430418880847,51,0.6294574614700492,6.564806923919468,,-7.054538048262964,,,,,,,,,
HD 190228,UID_0098714_RVC_002.tbl,42,matern32,-138.85633690015942,288.92568265516894,283.71267380031884,3,0.0003304149521738964,0.13373540831481023,0.4047160871870623,5.686149229434184,0.6823404006259569,8,0.6981205638521061,-0.20092823300737095,42,-2.8209797929088314,2.9921036982173814,,-7.426149978896923,,,,,,,,,
HD 190647,UID_0099115_RVC_001.tbl,21,matern32,-49.74419716305827,108.62196163928681,105.48839432611653,3,1.2323400966351983e-07,0.15822469746008966,0.61353956097003,3.6475006874907288,0.45580762512324535,4,0.9445858632249338,1.997718247858991,21,1.3339215628685837,4.9347138508517165,,-7.887513227107301,,,,,,,,,
HD 192263,UID_0099711_RVC_001.tbl,31,sho,-101.4295889737682,216.595126765477,210.8591779475364,4,2.8297903682116896,0.08962098761713799,0.9455940566246734,10.49458166739913,0.10531043705948251,6,1.0065915362523585,0.9148688691848128,31,1.4836517927254897,4.942820545760721,6.907755278982137,1.585621745961114,,,,,,,,,
HD 192263,UID_0099711_RVC_002.tbl,181,matern32,-697.3481587756239,1410.2918086450454,1400.6963175512478,3,1.7570599593541374,0.054710433669726,0.6304680039852626,19.21633741445085,0.5078064755623956,20,1.0014494814963877,0.19200514946086944,181,2.210577601121115,1.341160479535772,,1.4511316093966822,,,,,,,,,
HD 192263,UID_0099711_RVC_003.tbl,15,matern32,-44.47668588672637,97.07752237675938,94.95337177345274,3,1.9686684840866988,0.22435596871927643,0.3799658107305496,4.600210181386172,0.2035240519974011,3,1.0187418052228587,-1.0175544925877107,15,-3.034943272717009,3.782886512497282,,1.1384545751223674,,,,,,,,,
HD 192699,UID_0099894_RVC_001.tbl,34,sho,-120.11361177895445,254.33266565637354,248.2272235579089,4,4.881189747342745,0.12976570460981635,0.5714938520757336,8.339912120946273,0.21424299116966128,6,0.9899193286629577,1.1100428814087904,34,1.3982498887521424,4.3803360927865755,6.907755278982137,1.798571886703985,,,,,,,,,
HD 195019,UID_0100970_RVC_001.tbl,37,sho,-112.13615588583603,238.71598342224897,232.27231177167207,4,0.016497085135071643,0.09837387258425745,0.832213297448456,6.337567257358354,0.5009319348235604,7,1.0080116539967074,-0.27293204058669973,37,1.599190964711031,4.0405334692609385,-0.5964145050278842,-0.4051393527827957,,,,,,,,,
HD 195019,UID_0100970_RVC_002.tbl,117,matern32,-499.47117352441035,1013.228868853214,1004.9423470488207,3,8.793851719160216,0.07261451176431921,0.5436166297466165,14.087553530282145,0.8260291530018845,20,1.0080986738063775,-0.10877186406141437,117,2.1393361055999085,2.680462983787109,,2.3807728884755046,,,,,,,,,
HD 195019,UID_0100970_RVC_007.tbl,19,matern32,-66.35082433368775,141.53496560487483,138.7016486673755,3,0.19454600156096546,0.17399422925592878,0.5550393966300604,8.241368711170402,0.041278037901174014,3,1.0032886533646268,-1.3208508689055813,19,0.7324096647741636,7.714179607806857,,1.078851383339826,,,,,,,,,
HD 196885,UID_0101966_RVC_001.tbl,33,matern32,-127.92635305349741,266.34222879139423,261.8527061069948,3,1.991523390643124e-09,0.12198961474172443,0.6651396049671587,11.25503250096805,0.08080698339776626,6,1.0030808453831936,-0.677179283889036,33,2.963160839544546,5.192749342933054,,0.9487795417270874,,,,,,,,,
HD 196885,UID_0101966_RVC_003.tbl,69,sho,-287.34348464463693,591.6233953076629,582.6869692892739,4,0.5487841003455287,0.08245401692310272,0.7049006636861297,7.390193159142096,0.8809400663308299,13,1.0190905249065045,0.8372854674764967,69,2.586074051590165,4.33447973089497,0.29550794333592145,-3.6266280493349496,,,,,,,,,
HD 196885A,UID_0101966_RVC_004.tbl,76,sho,-317.9873529136088,653.297639188363,643.9747058272176,4,8.737646250255352,0.05253682803663917,0.9775729909946003,5.8991768404847145,0.9813919730980422,15,1.0071964652387722,-0.28131477938799776,76,2.0503903684802696,7.807091593747132,6.907755278982137,2.4818356575203806,,,,,,,,,
18 Del,UID_0103527_RVC_001.tbl,51,sho,-197.48334976219377,410.69400205528484,402.96669952438754,4,0.007438688489713741,0.057507386253626,0.9923862248604712,5.903416805291609,0.8233113897834525,10,1.0013028802678792,-0.5318489373320796,51,2.4426970259276657,4.55054112305822,0.2629450545773955,0.4145818734481746,,,,,,,,,
BD +14 4559,UID_0104780_RVC_001.tbl,43,sho,-159.89390186444948,334.8326041916732,327.78780372889895,4,3.7463633048195675,0.1197605204226338,0.529020340061889,4.171910968983661,0.8412893914534202,8,1.0825127510328336,-0.8981660412483405,43,1.7974140782889323,3.4055160428083924,4.296224525546247,-0.9970055585935398,,,,,,,,,
HD 204313,UID_0106006_RVC_001.tbl,36,matern32,-108.08741824749382,226.92539331035596,222.17483649498763,3,0.2995440389851325,0.13612911405898218,0.4759000146038591,3.4227191043377063,0.843341927627101,7,0.865074234973718,0.7424339124750907,36,0.15326921730633133,8.00830971013664,,0.5805474971708033,,,,,,,,,
HD 205739,UID_0106824_RVC_001.tbl,24,matern32,-80.28970627787953,170.1135740468029,166.57941255575906,3,8.276186992538214,0.09293541672259176,0.9733644645438111,7.055399975455041,0.13298939295629697,4,1.0146814363003744,0.061484496116141596,24,0.5711416763706278,7.097299439861862,,1.658545505634508,,,,,,,,,
HD 208487,UID_0108375_RVC_001.tbl,35,sho,-115.0849644582895,244.39132116253666,238.169928916579,4,0.20723919153323322,0.20294200345914626,0.09683255362607868,10.558779725502083,0.15905625927056577,7,1.0149268957296516,-0.9522701221190113,35,1.68047883947703,6.8561020187862125,6.907755278982137,0.7602867385550156,,,,,,,,,
HD 208487,UID_0108375_RVC_002.tbl,31,sho,-97.22979444642019,208.19553771078097,202.45958889284037,4,1.3245664831629256e-07,0.07941308589259888,0.9809637052506957,6.859135278846404,0.3340710857824193,6,0.9331345594683582,-0.5232620678441582,31,1.9770782200876151,6.977261556041078,6.907755278982137,-7.092017948105743,,,,,,,,,
HD 209458,UID_0108859_RVC_001.tbl,64,matern32,-188.64098257054698,389.75861439117296,383.28196514109396,3,0.07273228854248259,0.07978178768024197,0.780037220431446,7.634943719738102,0.8129683539437231,12,0.9810190084683418,0.4692451438115377,64,1.2941407347509368,3.4288553476260377,,0.0966471774039451,,,,,,,,,
HD 209458,UID_0108859_RVC_003.tbl,141,matern32,-589.9100431013618,1194.666365873858,1185.8200862027236,3,1.688397333055036e-08,0.037113800964763216,0.9862082560611228,24.84400586184469,0.20746433256268082,20,1.0357927619066474,0.551670046618145,141,1.7158572179073295,2.904721247374209,,2.3510059805268346,,,,,,,,,
HD 209458,UID_0108859_RVC_004.tbl,46,matern32,-179.8194407296724,371.1248056488121,365.6388814593448,3,1.5458198276974144e-08,0.10619924855696616,0.6385239933177593,5.589449418858352,0.7802000959081893,9,0.9689327723148601,0.3736000323403208,46,1.9611970885404597,3.218862156451413,,-6.648078357770248,,,,,,,,,
HD 210277,UID_0109378_RVC_001.tbl,69,sho,-203.85956388897577,424.6555537963406,415.71912777795154,4,0.3505712856955654,0.11175288899080987,0.33005033722050947,9.960494284764014,0.6971616581267729,13,0.9896388754243582,-0.3304348440435154,69,1.7615980000860179,4.516628989600196,-0.6931471805599453,0.04990551542106845,,,,,,,,,
HD 210277,UID_0109378_RVC_002.tbl,34,sho,-116.4966514596618,247.09874501778825,240.9933029193236,4,0.6334012033330652,0.14175101934402323,0.4598272744848382,5.573593898257678,0.47260688687226626,6,0.9954222617656856,0.06683297877469929,34,1.7721708238639857,3.9074912359576945,6.907755278982137,1.2077867210147735,,,,,,,,,
HD 210277,UID_0109378_RVC_003.tbl,42,matern32,-147.1875012347503,305.5880113243507,300.3750024695006,3,0.0008072020711438199,0.09888795688280716,0.769276344257745,17.125731621300343,0.02882615226176677,8,0.8077892866352887,-0.6917693506507399,42,-0.3323337100886605,1.4124463959398286,,-7.12204588248055,,,,,,,,,
HD 210277,UID_0109378_RVC_004.tbl,45,matern32,-129.6442449258482,270.70847732100736,265.2884898516964,3,0.778884606634989,0.11471107184209328,0.5556667051553554,19.00854571116319,0.025120330770143084,9,1.0107454579326292,0.9957288069845442,45,1.498797558119464,2.702874982121358,,0.4313526696305946,,,,,,,,,
HD 210277,UID_0109378_RVC_005.tbl,21,matern32,-80.34277435039121,169.81911601395268,166.68554870078242,3,6.213937549281312,0.13089614601925925,0.8196473221659422,2.347189159513153,0.6721913081004117,4,1.0002876913214216,-0.45722721368113284,21,-2.1960433597991273,6.787580247104057,,2.1867391506236777,,,,,,,,,
GJ 849,UID_0109388_RVC_001.tbl,29,sho,-75.20233791469099,163.87385914932787,158.40467582938197,4,5.145393280491149,0.1571368545084586,0.4273438665386081,1.9079375078178,0.8617313850491288,5,1.1425211970380116,3.100126249237002,29,0.5721662854957393,4.132129426813259,6.907755278982137,0.031839563126068185,,,,,,,,,
HD 210702,UID_0109577_RVC_001.tbl,29,sho,-89.53402995390601,192.53724322775793,187.06805990781203,4,5.6447791352999275,0.1286977465251417,0.6754626715538699,0.8851652274750872,0.9712863170403242,5,0.9857963760540103,0.33427882506204254,29,0.9807085710068015,4.118126679577163,6.907755278982137,1.144990050798673,,,,,,,,,
HD 212301,UID_0110852_RVC_001.tbl,23,sho,-71.59610134857667,155.73417956086993,151.19220269715333,4,4.2012455767828385,0.15238442829447352,0.6060471629954939,3.454661072507407,0.48480563013087496,4,1.0654946066071358,0.22205121172851916,23,1.6939029638151906,1.5230185871920288,0.6254766589792399,-4.021009159983842,,,,,,,,,
HD 213240,UID_0111143_RVC_002.tbl,72,matern32,-285.01739672146806,582.8647917999842,576.0347934429361,3,5.371938075171045,0.08886636600098918,0.5890279666902177,15.980069296266842,0.31459294336267696,14,1.0258755083623703,0.25200128127465415,72,2.1663636613205512,2.7979479247948356,,2.0570759208831793,,,,,,,,,
GJ 876,UID_0113020_RVC_003.tbl,16,matern32,-76.91120029746546,162.14016676165025,159.8224005949309,3,0.02325589022747465,0.15785503910469179,0.7642557393503675,6.836366773146271,0.07730029690237128,3,1.1430097756023072,-0.6964149777786357,16,-0.9838226825134111,7.7029916552628706,,1.965468059273694,,,,,,,,,
Tau 1 Gruis,UID_0113044_RVC_001.tbl,58,matern32,-184.13097160755845,380.4432722467562,374.2619432151169,3,11.081164423214801,0.10921417163013664,0.461148499000119,15.558204168281414,0.15834087637404926,11,0.9698018978263192,-0.058007727293658995,58,-2.8363216598579024,6.992378326680606,,1.4060824417109787,,,,,,,,,
Tau 1 Gruis,UID_0113044_RVC_002.tbl,44,sho,-139.19037262782538,293.5175037913238,286.38074525565077,4,0.8668828547677379,0.08573948658342323,0.8753545483157927,8.799387590679684,0.3595011485411901,8,1.0045777372361322,-0.37217694576130755,44,0.9157683587119307,3.7724034775063062,6.907755278982137,-7.371532433159327,,,,,,,,,
HD 216770,UID_0113238_RVC_001.tbl,16,matern32,-54.461566735434566,117.24089963758847,114.92313347086913,3,0.9108712189787767,0.18325519033619386,0.5927755622173855,0.14207420038322965,0.9863492560498692,3,1.0381972179045664,-0.22636606829083972,16,0.891324534343123,6.717711462140344,,1.477508706196071,,,,,,,,,
51 Peg,UID_0113357_RVC_001.tbl,256,matern32,-832.7193029724651,1682.074138278369,1671.4386059449303,3,4.305331544986757,0.06659491397559247,0.1972746488324464,15.157063953097063,0.7673509128743518,20,0.9276849926775901,-0.035896828567430816,256,0.8330448748768845,-0.7735616541150172,,-7.239047343160602,,,,,,,,,
51 Peg,UID_0113357_RVC_002.tbl,111,sho,-327.0657702364685,672.9696612781863,662.131540472937,4,2.310574828391566,0.09694295231224404,0.23232311473777623,28.369717948759238,0.10093219158368738,20,0.9278917121531454,0.3136355828113202,111,0.4419205636896923,3.658827900779365,6.907755278982137,-7.569239618603499,,,,,,,,,
51 Peg,UID_0113357_RVC_003.tbl,153,sho,-567.2471355097632,1154.6160227050962,1142.4942710195264,4,11.026890042224295,0.05697486396805407,0.6816063104351755,22.619148034708036,0.3078796854237612,20,0.9944845184986871,0.8563724548174694,153,1.9178190384106213,5.889173496639833,6.907755278982137,1.845637502714654,,,,,,,,,
HD 217014,UID_0113357_RVC_004.tbl,41,matern32,-95.62131239675247,202.38334099361788,197.24262479350494,3,0.00022426426437505143,0.07150107539103509,0.9750014145414116,8.405743756061128,0.39487181544199457,8,1.0018309324746646,0.10138242541690046,41,-3.690946670917151,7.480753650536599,,0.7875895688944023,,,,,,,,,
HD 218566,UID_0114322_RVC_001.tbl,56,sho,-142.89856324573933,301.89853325441925,293.79712649147865,4,1.5890507627761963,0.08671472631987975,0.7610429912418164,5.456352710134117,0.9070708292943536,11,0.9987159672746916,0.1406332848615408,56,0.5548937432117494,6.075646443645642,6.907755278982137,0.9854882518129782,,,,,,,,,
HD 219828,UID_0115100_RVC_001.tbl,22,rotation,-34.33694072822695,87.2201361766038,80.6738814564539,6,5.251375039700406,0.18233158756064538,0.4084444407369724,0.5723605620494338,0.9660849800113426,4,0.9610533685626846,-0.9085993283856686,22,0.23720833376985523,,,-0.39569415673026537,0.8112028325043689,9.210340371976184,4.508963843093467,3.64171947161982,,,,,
HD 220773,UID_0115697_RVC_001.tbl,43,sho,-138.3183923891321,291.6815852410385,284.6367847782642,4,6.730255319281241,0.0884916813237922,0.8598469130363777,4.570545662821528,0.8023344441760027,8,0.9934702023748244,-0.616766137157406,43,1.1544240817312708,5.210870390474166,6.907755278982137,1.3988912002979061,,,,,,,,,
Gamma Ceph,UID_0116727_RVC_001.tbl,26,matern32,-107.54266417313843,224.85961796034132,221.08532834627687,3,4.502960941796914,0.11018592519406681,0.8765253194000605,5.060022056120177,0.40859905576981026,5,0.9872509705552922,0.41974778097760224,26,-1.8539765429657549,6.2994551760909205,,2.3394311114540804,,,,,,,,,
Gamma Cephei,UID_0116727_RVC_002.tbl,33,sho,-233.42490328390252,480.835836813671,474.84980656780505,4,0.39155969134966995,0.28868008045705396,0.006271757936112121,11.625362766727957,0.07086773936665525,6,1.0203029244048516,-1.5068404574451273,33,2.059089103153425,7.627209574550432,6.907755278982137,-2.5460810828346663,,,,,,,,,
Gamma Cephei,UID_0116727_RVC_003.tbl,29,sho,-180.30815712655954,374.08549757306497,368.61631425311907,4,1.1299751213108493,0.24559645922531503,0.05017630279281016,7.931413477572873,0.16005629364896357,5,0.9891988687404968,-1.2343351140726977,29,3.671094267468884,7.793326755275719,6.907755278982137,3.1745310782249945,,,,,,,,,
Gamma Cephei,UID_0116727_RVC_008.tbl,43,matern32,-183.0776746452073,377.4389496374953,372.1553492904146,3,0.0005589778602086426,0.0965240869264333,0.7822562283870573,13.193927854606965,0.10534907329169596,8,0.887922750603185,-0.38377553724667424,43,-1.7795556844510594,3.7371147024412683,,-6.3847258704391505,,,,,,,,,
Gamma Cephei,UID_0116727_RVC_009.tbl,49,sho,-218.08066385087602,451.72860889419456,444.16132770175204,4,3.6830530017505794,0.12485405940161731,0.39697553639045724,13.903581857186815,0.1257965819844752,9,0.9021451835209057,-0.2673748235809206,49,3.3371614962593585,7.558072924729815,6.907755278982137,2.5595431992524995,,,,,,,,,
