host,file,n_obs,best_kernel,best_logL,best_BIC,best_AIC,convergence_gap,std_resid,kurt_excess_resid,gp_samples_kurt_excess,kurt_excess_pool,ks_p,lb_p,whitened_std,whitened_kurt_excess,p_log_sigma,p_log_rho,p_log_jitter,p_sho.log_sigma,p_sho.log_rho,p_sho.log_Q,p_matern32.log_sigma,p_matern32.log_rho
51 Peg,UID_0113357_RVC_001.tbl,256,matern32,-832.7193029724651,1682.074138278369,1671.4386059449303,4.305331544986757,6.865657026075554,0.8335348296858598,-0.07961963758837687,30.788256905489085,0.1972746488324464,0.7673509128743518,0.9276849926775901,-0.035896828567430816,0.8330448748768845,-0.7735616541150172,-7.239047343160602,,,,,
HAT-P-11,UID_0097657_RVC_001.tbl,53,sho+matern32,-185.79081593642016,395.40338335415305,383.5816318728403,24.264879583657375,41.34743310398727,0.19170252228570472,-0.15205626340787726,30.788256905489085,0.3352640892685613,0.07761393123296634,0.9647253784400112,-0.5976476281392493,,,-2.5307519027887255,2.3356433070362224,1.2049537818630025,-0.6931470983752315,4.096109886509956,6.119845972310256
gam Cep,UID_0116727_RVC_001.tbl,26,matern32,-107.54266417313843,224.85961796034132,221.08532834627687,4.502960941796914,15.661314750706085,1.0277451566233564,-0.048183214822850484,30.788256905489085,0.8765253194000605,0.40859905576981026,0.9872509705552922,0.41974778097760224,-1.8539765429657549,6.2994551760909205,2.3394311114540804,,,,,
