index,file,host,n_obs,rms_over_sigma
701,UID_0300114_RVC_001.tbl,CoRoT-8,19,0.8684382098752247
702,UID_0300114_RVC_002.tbl,CoRoT-8,2,1115.0801652642936
703,UID_0300122_RVC_001.tbl,WASP-36,19,0.705642043661472
704,UID_0300123_RVC_001.tbl,HAT-P-18,24,2.085321499529279
705,UID_0300126_RVC_001.tbl,HAT-P-20,10,5.620967965673349
706,UID_0300127_RVC_001.tbl,HAT-P-21,15,7.818479103573563
707,UID_0300128_RVC_001.tbl,HAT-P-22,12,5.507539583444195
708,UID_0300129_RVC_001.tbl,HAT-P-23,13,6.331200649618402
709,UID_0300130_RVC_001.tbl,HAT-P-24,18,1.5658464709833428
710,UID_0300131_RVC_001.tbl,HAT-P-25,8,1.185975625152068
711,UID_0300134_RVC_001.tbl,WASP-32,36,1.3920429336405946
712,UID_0300135_RVC_001.tbl,WASP-38,63,3.2241130760548833
713,UID_0300136_RVC_001.tbl,HAT-P-26,12,1.0457968321178575
714,UID_0300144_RVC_001.tbl,2MASS J19024305+5014286,21,
715,UID_0300144_RVC_002.tbl,2MASS J19024305+5014286,21,
716,UID_0300145_RVC_001.tbl,HAT-P-27,36,0.8821051114681949
717,UID_0300149_RVC_001.tbl,Kepler-40,11,1.2718743864532707
718,UID_0300150_RVC_001.tbl,HAT-P-28,11,0.679229445182584
719,UID_0300150_RVC_002.tbl,HAT-P-28,6,0.6701374858783138
720,UID_0300151_RVC_001.tbl,HAT-P-29,8,2.5402384686331305
721,UID_0300156_RVC_001.tbl,HATS-P-30,66,5.790435464418012
722,UID_0300156_RVC_002.tbl,HATS-P-30,11,0.7465460540415118
723,UID_0300157_RVC_001.tbl,WASP-44,17,1.013498747410706
724,UID_0300158_RVC_001.tbl,WASP-45,13,0.48076310384392323
725,UID_0300165_RVC_001.tbl,CoRoT-18,5,0.35463614267837346
726,UID_0300165_RVC_002.tbl,CoRoT-18,18,1.4964277074432561
727,UID_0300165_RVC_003.tbl,CoRoT-18,11,0.5283317774720436
728,UID_0300167_RVC_001.tbl,CoRoT-19,5,0.09415496341809436
729,UID_0300167_RVC_002.tbl,CoRoT-19,18,1.2121527497703588
730,UID_0300167_RVC_003.tbl,CoRoT-19,2,0.21704115754149042
731,UID_0300167_RVC_004.tbl,CoRoT-19,7,0.6432214535351771
732,UID_0300168_RVC_001.tbl,Kepler-15,24,0.5156126443590242
733,UID_0300168_RVC_002.tbl,Kepler-15,6,0.12984021832587497
734,UID_0300169_RVC_001.tbl,Kepler-17,13,1.1078357752298407
735,UID_0300171_RVC_001.tbl,TrES-5,8,0.767615570239155
736,UID_0300175_RVC_001.tbl,Kepler-12,16,1.0312229256653858
737,UID_0300177_RVC_001.tbl,Kepler-43,8,0.6742177470711692
738,UID_0300178_RVC_001.tbl,Kepler-44,7,0.4083384962985144
739,UID_0300179_RVC_001.tbl,Qatar-2,44,1.0330808226839971
740,UID_0300182_RVC_001.tbl,Kepler-20,30,1.1323285988900615
741,UID_0300184_RVC_001.tbl,CoRoT-23,10,0.32435471297821766
742,UID_0300186_RVC_001.tbl,HATS-P-35,5,7.930187341042604
743,UID_0300186_RVC_002.tbl,HATS-P-35,7,29.426042182282245
744,UID_0300188_RVC_001.tbl,HATS-P-37,13,5.720409557862292
745,UID_0300208_RVC_001.tbl,Kepler-100,49,1.7384264102506255
746,UID_0300216_RVC_001.tbl,2MASS J19254039+3840204,18,
747,UID_0300216_RVC_002.tbl,2MASS J19254039+3840204,18,
748,UID_0300243_RVC_001.tbl,Kepler-77,11,0.6090085421985871
749,UID_0300243_RVC_002.tbl,Kepler-77,4,8.27089132556568e-05
750,UID_0300286_RVC_001.tbl,Kepler-74,5,0.7674421457162839
751,UID_0300286_RVC_002.tbl,Kepler-74,12,1.1398006338605569
752,UID_0300316_RVC_001.tbl,2MASS J18561431+4431052,20,
753,UID_0300316_RVC_002.tbl,2MASS J18561431+4431052,20,
754,UID_0300317_RVC_001.tbl,Kepler-68,52,1.525832529809594
755,UID_0300317_RVC_002.tbl,2MASS J19240775+4902249,22,
756,UID_0300317_RVC_003.tbl,2MASS J19240775+4902249,22,
757,UID_0300788_RVC_001.tbl,Kepler-75,2,952.6193981486998
758,UID_0300788_RVC_002.tbl,Kepler-75,9,21.36302020359347
759,UID_0301405_RVC_001.tbl,2MASS J19344300+4651099,23,
760,UID_0301405_RVC_002.tbl,2MASS J19344300+4651099,23,
761,UID_0302448_RVC_001.tbl,CoRoT-16,24,1.1021798458033811
762,UID_0302448_RVC_002.tbl,CoRoT-16,7,0.5126180225672068
763,UID_0302459_RVC_001.tbl,HATS-1,6,5.006907410029178
764,UID_0302459_RVC_002.tbl,HATS-1,6,0.3035573861365371
765,UID_0302459_RVC_003.tbl,HATS-1,21,1.3676041511803727
766,UID_0302460_RVC_001.tbl,WASP-78,17,0.5685910036500597
767,UID_0302468_RVC_001.tbl,HAT-P-39,28,5.489941436590109
768,UID_0302469_RVC_001.tbl,HAT-P-40,13,1.345656222925212
769,UID_0302470_RVC_001.tbl,HAT-P-41,9,0.582276334478737
770,UID_0302470_RVC_002.tbl,HAT-P-41,13,2.472381154819278
771,UID_0302471_RVC_001.tbl,WASP-42,27,0.9574923553616842
772,UID_0302471_RVC_002.tbl,WASP-42,35,0.9342138956358438
773,UID_0302474_RVC_001.tbl,WASP-55,20,0.9804882858386287
774,UID_0302475_RVC_001.tbl,WASP-61,15,0.6281240218100974
775,UID_0302476_RVC_001.tbl,WASP-62,25,1.1919486816785239
776,UID_0302477_RVC_001.tbl,WASP-63,23,1.195465424643839
777,UID_0302478_RVC_001.tbl,WASP-66,30,1.0303776373989415
778,UID_0302479_RVC_001.tbl,WASP-67,19,0.6928717707553371
779,UID_0302482_RVC_001.tbl,WASP-54,16,0.9142672736735072
780,UID_0302482_RVC_002.tbl,WASP-54,7,1.3362930968294866
781,UID_0302483_RVC_001.tbl,WASP-56,13,1.6992999947663756
782,UID_0302486_RVC_001.tbl,WASP-58,15,0.9881151252779921
783,UID_0302489_RVC_001.tbl,WASP-77 A,11,2.3923519121348984
784,UID_0302489_RVC_002.tbl,WASP-77 A,8,0.8844493998678372
785,UID_0302492_RVC_001.tbl,WASP-64,16,0.4141653533239129
786,UID_0302493_RVC_001.tbl,WASP-72,18,1.1476354970639215
787,UID_0302520_RVC_001.tbl,CoRoT-27,13,0.5808914098416206
788,UID_0302522_RVC_001.tbl,KELT-6,16,2.593818455549948
789,UID_0302522_RVC_002.tbl,KELT-6,24,1.057988190780524
790,UID_0302527_RVC_001.tbl,HAT-P-49,6,2.750853880580926
791,UID_0302527_RVC_002.tbl,HAT-P-49,16,1.2708188016459936
792,UID_0302539_RVC_001.tbl,CoRoT-25,28,0.8542397613321412
793,UID_0302539_RVC_002.tbl,CoRoT-25,6,0.6596230009211598
794,UID_0302540_RVC_001.tbl,CoRoT-26,24,0.8869380735381277
