index,file,host,n_obs,rms_over_sigma
410,UID_0078521_RVC_002.tbl,HD 143361,12,1.1918631450914525
411,UID_0079219_RVC_001.tbl,HD 145457,23,1.671965555692244
412,UID_0079219_RVC_002.tbl,HD 145457,3,0.35099356480120575
413,UID_0079242_RVC_001.tbl,HD 142022A,70,2.214341275181425
414,UID_0079242_RVC_002.tbl,HD 142022A,6,1.2547357870467934
415,UID_0079346_RVC_001.tbl,HD 145377,64,22.877930353630436
416,UID_0079431_RVC_001.tbl,HIP 79431,13,1.1895670968986416
417,UID_0080076_RVC_001.tbl,HD 147506,53,0.9941334593004838
418,UID_0080076_RVC_002.tbl,HD 147506,13,36.20884816121351
419,UID_0080076_RVC_003.tbl,HD 147506,10,1.903321983099012
420,UID_0080076_RVC_004.tbl,HD 147506,63,4.1109052942319675
421,UID_0080076_RVC_005.tbl,HAT-P-2,14,4.420156321159458
422,UID_0080337_RVC_001.tbl,HD 147513,30,1.7018383813158675
423,UID_0080838_RVC_001.tbl,HD 149026,16,1.5260958758733483
424,UID_0080838_RVC_002.tbl,HD 149026,7,1.5135560675706408
425,UID_0080838_RVC_003.tbl,HD 149026,4,0.6167324654746072
426,UID_0081022_RVC_001.tbl,HD 149143,8,1.7256185026369102
427,UID_0081022_RVC_002.tbl,HD 149143,17,0.6336060913054432
428,UID_0082632_RVC_001.tbl,HD 152079,15,1.2060315122566914
429,UID_0083043_RVC_001.tbl,GJ 649,43,1.4718733496934673
430,UID_0083547_RVC_001.tbl,HD 153950,49,5.436011324694224
431,UID_0083949_RVC_001.tbl,HD 155358,71,3.1106051508730435
432,UID_0083949_RVC_002.tbl,HD 155358,122,1.3643880600964589
433,UID_0083983_RVC_001.tbl,HD 154672,6,1.3407856643245017
434,UID_0083983_RVC_002.tbl,HD 154672,16,2.05719986683748
435,UID_0084069_RVC_001.tbl,HD 154857,18,1.989659927783102
436,UID_0084069_RVC_002.tbl,HD 154857,28,4.6815540903062525
437,UID_0084171_RVC_001.tbl,HD 156279,15,2.0973343548022765
438,UID_0085523_RVC_001.tbl,GJ 674,32,4.504566172040285
439,UID_0085647_RVC_001.tbl,GJ 676 A,75,2.1710303232357337
440,UID_0086375_RVC_001.tbl,HD 159868,28,4.795427666107618
441,UID_0086796_RVC_001.tbl,HD 160691,21,0.8869625109276604
442,UID_0086796_RVC_002.tbl,mu Ara,108,1.7268384931598948
443,UID_0086796_RVC_003.tbl,HD 160691,38,1.3653327827298156
444,UID_0086796_RVC_004.tbl,HD 160691,45,0.9594782951583037
445,UID_0086796_RVC_005.tbl,mu Arae,40,1.4464409647900653
446,UID_0086796_RVC_006.tbl,mu Arae,86,2.5315766188570907
447,UID_0087330_RVC_001.tbl,HD 162020,46,41.323702046990235
448,UID_0087601_RVC_001.tbl,HD 163607,53,2.456384744228073
449,UID_0088268_RVC_001.tbl,HD 164509,49,3.526036853069509
