P_true,snr,K_true,e_true,omega_true,P_rec,K_rec,e_rec,dP_rel,dK_rel,de,chi2,alias
1.0,2.0,9.401531874346016,0.21966311433751862,219.1055463459284,0.963917159582554,30.67539498890878,0.9047625743761103,0.03608284041744603,2.2628081677426217,0.6850994600385917,27.95620549769768,0
1.0,2.0,11.185757801133274,0.21936426771645004,182.38461830219006,0.5,8.662915252092107,0.0,0.5,0.22554060206681462,0.21936426771645004,0.3438907326050285,1
1.0,2.0,9.9494927806295,0.5828257168691701,36.24301114782825,3.2099898704681706,3.5663337899107117,0.6156879282566559,2.2099898704681706,0.6415562211519017,0.032862211387485796,0.5115919761078991,1
1.0,2.0,11.873520716913953,0.21808229284012792,357.3194434581852,6.172552624801537,10.484488590893234,0.5245813987127446,5.172552624801537,0.116985699451556,0.30649910587261664,1.9136726293336808,1
1.0,2.0,10.470497662230226,0.36935236247356196,54.048361525817484,0.5,6.413227545916568,0.27671232460778444,0.5,0.38749544168748284,0.09264003786577751,0.005977711538268941,1
1.0,2.0,6.910763156093211,0.4213757001311534,2.726688535446571,44.091645846920734,137.73590856193644,0.8952228827117757,43.091645846920734,18.93063652318845,0.47384718258062236,0.001644285496835453,1
1.0,2.0,8.40414711069663,0.4604868889670591,228.64185061407466,647.8330254148976,7.0120953704677245,0.8326272120257051,646.8330254148976,0.16563866884923165,0.372140323058646,0.579308096438064,1
1.0,2.0,10.410090630600916,0.15445624108654485,49.48036651529872,0.9946491067778518,16.463402119427954,0.0,0.005350893222148212,0.5814849940915082,0.15445624108654485,3.373852637490502,0
1.0,2.0,9.069643140480267,0.27116811333954943,29.722716596694614,670.6122601359887,266.8593528506219,0.99,669.6122601359887,28.423357536478647,0.7188318866604506,6.782334336493584,1
1.0,2.0,10.103475382355022,0.41396859469056696,221.2637554595491,0.8530246412951314,9.432310253383973,0.3660859200306863,0.14697535870486855,0.06642913488394199,0.047882674659880664,3.251822987037612,0
1.0,2.0,9.533644207117465,0.13122066524807832,295.46784982175933,4572.386183391035,741.7434953025148,0.47813330337443893,4571.386183391035,76.80272466521842,0.34691263812636064,0.47352122604068553,1
1.0,2.0,9.365980453990979,0.15291757421481014,208.4735148827402,1.1473930280372209,26.937489621606797,0.12083820425181316,0.14739302803722087,1.8760992780129437,0.032079369962996984,147.63495452622237,0
1.0,2.0,8.63131928312361,0.3340677938691044,272.5733796591208,68.75470763660536,80.7447763007711,0.9838011847245458,67.75470763660536,8.354859164884253,0.6497333908554415,1.73810113693463,1
1.0,2.0,8.693785323842986,0.260098269393073,177.1003745311878,4840.62593973605,27.556440004885935,0.9878172111201268,4839.62593973605,2.1696710901420015,0.7277189417270538,7.858048623795842,1
1.0,2.0,7.954909283711406,0.42259311475809624,339.31990540321596,11.01639767133073,9.08514833504847,0.7206566979566563,10.01639767133073,0.14208069646392546,0.2980635831985601,1.995025964646989,1
