host,pl_name,split,earth_score,P_tab_d,P_tab_err_d,P_tab_err_lo_d,P_tab_err_hi_d,K_tab_ms,K_tab_err_ms,K_tab_err_lo_ms,K_tab_err_hi_ms,e_tab,e_tab_err,e_tab_err_lo,e_tab_err_hi,omega_tab_rad,P_pred_d,K_pred_ms,e_pred,omega_pred_rad,halfwidth_log10_P_a01,halfwidth_log10_K_a01,halfwidth_e_a01,halfwidth_omega_a01,P_cp_lo_d,P_cp_hi_d,K_cp_lo_ms,K_cp_hi_ms,widths_source
GJ 649,GJ 649 b,test,2.2124070009943533,600.0998449514279,1.7,-1.7,1.7,9.709999654151195,0.54,-0.53,0.55,0.08299999684095383,0.0615,-0.055,0.068,0.052359877795371025,864.8101986297298,18.114637407356014,0.30770659747445384,3.080732916055101,0.439217529064268,0.3152094604981444,0.37265012722142427,,314.5598387382467,2377.597479239353,8.766377832223615,37.43166159160952,papernorm_per_system
HD 141004,HD 141004 b,val,2.666637216045045,15.50829864166709,0.0017000000000000001,-0.0018,0.0016,3.4499999398809527,0.355,-0.35,0.36,0.1599999964237213,0.10500000000000001,-0.1,0.11,0.34000060778517904,11.36263530315419,18.274966045093336,0.38304084014894824,-2.4288858173865657,0.931377005569601,0.5660568062994826,1.204292488554373,,1.330767120539344,97.01883901381588,4.963634247693193,67.2842452290932,papernorm_per_system
HD 2952,HD 2952 b,test,2.7917861898360856,312.0800688904931,1.525,-1.69,1.36,18.42000162900802,2.48,-2.43,2.53,0.26899999380111694,0.1575,-0.15,0.165,-2.7157323177158745,96.72289094067011,30.75161232871939,0.6512447770826675,-1.7613742346008057,0.8823068502971815,0.49407222664580575,0.8370210606492181,,12.6830124372807,737.6258344130893,9.858155502422909,95.92683545957703,papernorm_per_system
HD 147513,HD 147513 b,val,3.0053118475239664,528.4000576103695,6.3,-6.3,6.3,29.299996340293607,1.8,-1.8,1.8,0.25999999046325684,0.05,-0.05,0.05,-1.3613568273766112,494.4766449372256,41.000207443950636,0.4608410026385359,1.8913571172507126,0.42373694955212865,0.26837287145071315,0.6119821564828497,,186.38408857878807,1311.8456315278079,22.10106402149278,76.06045613062949,papernorm_per_system
HD 173416,HD 173416 b,test,3.0299015739518373,322.03006770648545,1.425,-1.52,1.33,35.32999900952344,4.265000000000001,-4.46,4.07,0.20800000429153442,0.0915,-0.094,0.089,-2.0577431809450824,182.84139014758728,61.55276665364845,0.2803939626107209,0.4545718566413213,1.357312023639679,0.33188144472362957,0.7143430858850479,,8.030868060880362,4162.8095117076855,28.66593643467728,132.16882313794713,global_raw
HD 10647,HD 10647 b,test,3.057975629553985,989.1999380827921,8.1,-8.1,8.1,18.10000221298143,1.7,-1.7,1.7,0.15000000596046448,0.08,-0.08,0.08,-2.5830872880919507,890.6949927375337,23.971957759305393,0.5745716471836391,-2.666665175898466,0.30992080327217697,0.29564505562144244,0.30439472652349603,,436.3231013672383,1818.2341654653528,12.135521615252124,47.353115674211026,papernorm_per_system
HD 231701,HD 231701 b,val,3.0966673058101977,141.62999290121132,0.067,-0.067,0.067,39.199997330485985,1.2,-1.2,1.2,0.12999999523162842,0.032,-0.032,0.032,1.186823908690243,126.01362377016676,41.60528493863292,0.1519095861786589,0.24060910686071244,0.5602595199758142,0.370308625359809,0.5245380954034148,,34.68630038323042,457.8012990790529,17.735354565316864,97.60164243967056,papernorm_per_system
HD 206610,HD 206610 b,test,3.1764855492335338,673.1999475795506,3.3,-3.3,3.3,35.399998485561966,1.0,-1.0,1.0,0.10000000149011612,0.042,-0.042,0.042,-0.45378560611195523,852.3111110104672,39.286351930134735,0.272457473193258,2.60134257333947,0.42373694955212865,0.26837287145071315,0.6119821564828497,,321.2633624615927,2261.179813302685,21.17721429497091,72.88104216544319,papernorm_per_system
HD 32518,HD 32518 b,val,3.3505698194679328,157.35000125646965,0.09,-0.08,0.1,98.88000625598077,5.74,-5.88,5.6,0.02800000086426735,0.026500000000000003,-0.019,0.034,-0.6178465413825883,110.80657853495622,97.88664997826463,0.1038315248559371,-1.839435940793388,0.30664997529035104,0.16477935106862895,0.3972819182670682,,54.690962901432066,224.4995735173264,66.97984136541044,143.05492590962604,papernorm_per_system
HD 73534,HD 73534 b,test,3.3547065041973596,1749.999558305246,24.0,-24.0,24.0,17.110000488266003,0.93,-0.93,0.93,0.12600000202655792,0.057,-0.057,0.057,2.932153154171508,1106.7352643901397,34.575103870086245,0.2561566185550892,2.511185960511481,0.42373694955212865,0.26837287145071315,0.6119821564828497,,417.1639766273439,2936.1666252857995,18.637627266329467,64.14109427904042,papernorm_per_system
